,MD,IA,DE,OH,PA,NE,WA,PR,AL,AR,NM,TX,CA,KY,GA,WI,OR,MO,VA,TN,LA,NY,MI,ID,FL,AK,IL,MT,MN,IN,MA,KS,NV,VT,CT,NJ,DC,NC,UT,ND,SC,MS,CO,SD,OK,WY,WV,ME,HI,NH,AZ,RI
2019-08-01,367.91105493268526,366.42149335071093,361.28643050977286,386.4318034788798,365.78818720612753,380.4026058260875,345.77786270126734,0.0,366.4131245305531,379.228156411189,376.3798605616662,404.39194994381097,366.08264465101854,389.29903797579163,405.1003982402187,344.76780137781594,358.8371766711098,372.2588499671577,373.64647053422726,375.58425984616474,383.6792263911078,352.0848815704587,387.4999685633426,365.5075846625648,405.91447426543976,328.39732879094413,350.47410666472655,363.98904484045056,360.3764419471703,373.97311690514664,338.54185761486326,386.1104351921812,350.4193551572774,337.991725842181,349.4835241594289,354.29469829408646,369.72049999408927,385.05072189150974,384.8636393703685,370.30465031421477,394.89488153850425,373.56539456552537,360.7748301986901,369.9274876843794,395.25546488718265,360.5904189374879,381.61760254287316,330.4339824726508,364.5714064183202,335.74185525936616,343.0799711793381,339.1375174462609
2019-08-02,368.80135570401245,367.4325430275443,362.1925126844047,387.3906215937061,366.7336114932522,381.3761417486852,347.05092126290543,0.0,367.0877882243826,379.98264218928796,377.11301567471406,405.0128438457994,366.8460382974205,390.1532434260509,405.795709464691,345.8279563672959,359.9690822586809,373.12237786516494,374.49503155252825,376.35941704206357,384.30245533802685,353.07219162757815,388.5466145626555,366.6499317896517,406.456207094369,333.68690392854063,351.441758599393,365.21532118703175,361.5327383773373,374.92071309673264,339.5501399737343,386.98172947555526,351.2424151208795,339.10190155694215,350.4493074960279,355.236428019347,370.5986771827177,385.82166539214006,385.80809845194824,371.5601383532999,395.6190727917474,374.2211310876362,361.68156006895134,371.0088016740691,396.02201813984203,361.6074984977158,382.5039061178129,331.530912838606,364.94870555011425,336.7930135702053,343.78101167761866,340.13775714892336
2019-08-03,369.69563406395866,368.4489819905321,363.1027693291387,388.35423670274594,367.68368316370976,382.35463029259125,348.3319799697993,0.0,367.763575276794,380.7393347217914,377.8480712450522,405.63409654448594,367.6117127622256,391.01096055921556,406.4924347819354,346.8940541510804,361.1076366198346,373.9895239127871,375.34704194160776,377.13706343220286,384.92608864083786,354.0646398139839,389.59905619893476,367.79900722705275,406.9971805879891,336.9657840533578,352.4142971571742,366.44918810221196,362.6959777525075,375.8729620079809,340.5638183211599,387.8567364488715,352.0685440601645,340.2185892136892,351.41998819707726,356.1827667498723,371.4806815600308,386.5950493253285,386.7571419873179,372.8235174658115,396.3450752949879,374.87772629121986,362.5924293607203,372.0962764095478,396.79093439784185,362.6300047631676,383.3941299226101,332.6342176743378,365.32277168142775,337.8500500763388,344.48351661519405,341.1433004792611
2019-08-04,370.5934731890183,369.47032999525373,364.01677524534017,389.32219595278644,368.6379562260713,383.3376117242468,349.6204149123556,0.0,368.4401788426251,381.4978878236816,378.5846923703023,406.25542785738656,368.3793184274537,391.87179181584685,407.19025709952024,347.9655873798857,362.2522952274758,374.85988607745287,376.2021066341059,377.91684208958293,385.54984489688496,355.06175738906086,390.65679316743325,368.95425967851895,407.53715190786926,340.151925326909,353.3912650295371,367.69004730012483,363.86559975513853,376.82941695016814,341.5824125438654,388.7350502898908,352.8973620716503,341.3412527773467,352.3951091981692,357.1332703140262,372.3661027039707,387.37051852261817,387.71032659447235,374.0941718314986,397.0725574717139,375.53488275439867,363.5070142534892,373.1893936571807,397.56186162333506,363.65745496867896,384.28785936086274,333.74336805652047,365.6934410478868,338.91246126994463,345.1871674249887,342.1536716844668
2019-08-05,371.4944751631156,370.49612749290907,364.9341243430078,390.29406636186405,369.59600436726043,384.3246464055353,350.91562792315847,0.0,369.1173086248464,382.2579726306646,379.32256125135973,406.87657367741,369.1485231440341,392.7353580926936,407.88887604094685,349.04207020584033,363.4025363604136,375.733080917927,377.0598489577285,378.69841361823006,386.1734587736089,356.0630959372631,391.7193464563807,370.115160958454,408.07589366627667,343.2830738116208,354.37222494599166,368.93732522061174,365.0410673342851,377.7896509742244,342.6054631599253,389.61628385367555,353.72850734170356,342.46937858114666,353.37423340824546,358.0875141629557,373.2545489150312,388.1477352987341,388.66722858654066,375.37151098637486,397.8012047430925,376.19231943958283,364.4249100549993,374.2876570371448,398.334465207928,364.6893871636363,385.1846987039026,334.8578571974485,366.0605642965238,339.97976495465025,345.89166231981505,343.1684155223162
2019-08-06,372.398261138879,371.5259357718266,365.8544298067981,391.26943500368094,370.55742111334575,385.3153149449529,352.2170468143662,0.0,369.7946909236078,383.0192776859305,380.061377306017,407.4972860229135,369.919012311548,393.6012988807829,408.5880080356375,350.12303846968,364.55786129954583,376.60874370656165,377.919910755301,379.48145626186715,386.7966810648335,357.068227530216,392.78625851149394,371.28120620108933,408.61319391419687,346.3748067602981,355.3567598183706,370.1904732397346,366.2218669393244,378.75325699817745,343.63253146716,390.5000688137326,354.5616363062613,343.6024755403861,354.3569438576288,359.0450935159877,374.14564740448793,388.9263795578042,389.62744407749767,376.6549700294565,398.53071962413225,376.84977172784846,365.3457313849534,375.3905922228504,399.108428107363,365.72536037338284,386.08427123982466,335.9772006463233,366.42400633115693,341.05150045239026,346.5967163798003,344.18709738326254
2019-08-07,373.3044714097519,372.5593371059116,366.7773242096762,392.24790910247685,371.5218199374235,386.3092183308816,353.5241254711222,0.0,370.4720686648438,383.7815089933047,380.8008571645068,408.11733302215254,370.69048892512217,394.4692723338703,409.2873863244874,351.20804981966734,365.7177944354912,377.48652851723483,378.7819524695957,380.2656659618715,387.4192786824821,358.0767448500775,393.8570933761364,372.45191395663363,409.1488561277015,349.43560937077694,356.34447286757097,371.4489677990065,367.40750863043667,379.71984795247204,344.66319969200333,391.38605573275066,355.3964236743002,344.74007526725853,355.34284382828713,360.0056234879294,375.039044361559,389.7061488548974,390.5905891403147,377.9440097448174,399.2608217416802,377.50699143705276,366.26911223766217,376.4977470587147,399.8834508583937,366.76495473196957,386.98621935429156,337.10093642075174,366.7836462911827,342.12722872889003,347.30206156675985,345.20930348247316
2019-08-08,374.21276545268046,373.5959347911812,367.70245950327364,393.22911607835925,372.4888342973628,387.305977969439,354.8363439377274,0.0,371.14920137294985,384.54439001217975,381.5407347096965,408.7364988817626,371.4626735857717,395.3389553122859,409.98676097200234,352.29668378552014,366.8818833626085,378.3661082404096,379.64565315811524,381.05075634627394,388.04103461493776,359.08826123229346,394.93143673770135,373.6268262697504,409.68269914206684,352.4707364362297,357.3349876565083,372.7123104527712,368.5975261535755,380.68905679956544,345.6970710288811,392.2739141096041,356.2325624726091,345.8817321606342,356.33155688651726,360.96873910929764,375.9344049749687,390.486758389203,391.55629982197564,379.23811665440854,399.99124786001795,378.1637467846891,367.1947060253818,377.6086916413089,400.65925159433345,367.8077715148232,387.8902045681063,338.22862508138684,367.13937740457476,343.20653243785625,348.0074466924144,346.23464085496147
2019-08-09,375.1228219145396,374.63535315726693,368.6295070511198,394.21270354777647,373.458117636222,388.3052356598132,356.15320834691204,0.0,371.82586512059777,385.30766162164946,382.2807609945143,409.35458381686533,372.2353044367956,396.21004334674717,410.6858987831752,353.3885417682522,368.0496988466583,379.24717458749495,380.5107104949914,381.83645870940535,388.661747868611,360.1024106885463,396.00889595227477,374.80550865684654,410.2145570553009,355.4837011130179,358.3279481125576,373.98002786141706,369.79147692816923,381.66053654705553,346.73376964482287,393.1633323414049,357.06976399731354,347.02702340308446,357.3227269141821,361.9340953477432,376.83141345109533,391.26794097905935,392.5242321277802,380.53680302226263,400.72175180580206,378.819822343889,368.12218556486295,378.7230182951306,401.4355660171112,368.8534331526949,388.7959075265371,339.3598497127485,367.4911068146003,344.2890159611696,348.71263740519004,347.2627373711723
2019-08-10,376.03433857345726,375.6772375085792,369.55815756754487,395.1983392839689,374.42934334402196,389.306653592856,357.4742508814542,0.0,372.5018524315681,386.0710820485426,383.0207041765555,409.971403939864,373.00813711057003,397.08225059421363,411.38458324296,354.48324700512234,369.22083476853015,380.1294380125272,381.376840694994,382.62252195163745,389.2812333483851,361.11884784042127,397.08909996651414,375.9875500549272,410.7442791130614,358.4769782801218,359.3230184519441,375.2516717251166,370.98894200439435,382.63396017482455,347.7729406548532,394.0540176842329,357.90775776602595,348.1755489066179,358.31601802819625,362.9013670527298,377.72977293993904,392.04944699176133,393.4940619828978,381.83960676164173,401.4521044009165,379.4750189293508,369.051243034474,379.8403415443799,402.2121473038487,369.90158316860993,389.70302795320714,340.4942159178642,367.83875546906734,345.3743053454122,349.41741606410363,348.29324172803524
2019-08-11,376.9470322156967,376.72125403573045,370.4881210043699,396.18571110267254,375.40220464649315,390.30991421251247,358.79902956758434,0.0,373.1769721513935,386.83442674212296,383.760349393932,410.58679112399346,373.78094459288883,397.9553097221389,412.0826143803566,355.5804444548345,370.3949080401007,381.0126276072195,382.2437784186804,383.40871243537816,389.89932174017343,362.1372478352462,398.171699242834,377.17256268157337,411.27172954417523,361.452381326138,360.319883080595,376.5268186303893,372.18952593270023,383.6090205496162,348.8142500141028,394.945696135619,358.7462913795318,349.3269312191109,359.3111145285369,363.87024885808677,378.62920543610875,392.83104422417927,394.4654851341334,383.14609128868443,402.1820933436663,380.1291534806754,369.98158985457627,380.96029800402755,402.9887660135364,370.9518860812646,390.6112845202162,341.6313516810254,368.1822578773036,346.4620481894775,350.1215816303397,349.32582332682745
2019-08-12,377.860638515271,377.76708966635675,371.41912644189006,397.1745267317302,376.37641447314104,391.3147200838936,360.12712809750434,0.0,373.851049298924,387.59748823390345,384.49949861943725,411.2005928509797,374.55351708151727,398.8289717802259,412.7798086147161,356.67980065372603,371.571558381776,381.8964909820999,383.11127662538195,384.19481387510797,390.51585932949223,363.15730618484565,399.2563655956604,378.36018188419166,411.79678740871856,364.4112821455459,361.31824647355995,377.8050698639102,373.3928566093139,384.5854302911902,349.8573843582869,395.8381123101751,359.5851304213827,350.48081535923785,360.30772069078705,364.84045502863,379.52945161215587,393.6125177621149,395.4382169821854,384.4558453257455,402.91152306291497,380.78205889177514,370.91295654784597,382.0825462157553,403.76520992792877,372.0040272588966,391.52041475190344,342.770907232354,368.5215619308762,347.5519135376081,350.82494951665825,350.360172110647
2019-08-13,378.7749118478897,378.8144518695158,372.35092186455626,398.16451363518,377.3517052761004,392.3207937077672,361.4581555657814,0.0,374.52392487965824,388.3600759636892,385.23797047292,411.81267199313976,375.3256618049468,399.7030060091461,413.4759985799081,357.78100351586994,372.7504481615321,382.78079407050603,383.9791064087668,384.9806271300429,391.1307078254046,364.17873860092004,400.3427920019466,379.55006589804304,412.31934637428685,367.3547480208577,362.3178329851671,379.0860511689728,374.59858502717117,385.5629215804605,350.90205084982387,396.73102923651254,360.42405821974916,351.63686861281195,361.3055606404731,365.8117193038103,380.43027071857404,394.3936698051772,396.41199242246853,385.76848264188544,403.64021452525714,381.43358383759744,371.84509258007733,383.2067664490922,404.54128386916307,373.05771272830566,392.4301748128987,343.9125548324795,368.85662865706126,348.64359163512074,351.5273513931916,351.3959984320671
2019-08-14,379.68962508291054,379.86306844140506,373.2832740176356,399.15541877495946,378.32782881363164,393.32787731344865,362.7917461185113,0.0,375.1954556617197,389.1220160453235,385.9756000089166,412.42290662909693,376.09720279355,400.577199645957,414.17103290525125,358.8837621098015,373.931262097913,383.6653209145192,384.8470567715738,385.76597001541813,391.743744136857,365.20128076240513,401.4306923710139,380.74189557553564,412.83931450981737,370.2836309238908,363.3183866090466,380.3694124426765,375.8063850502896,386.5412459407536,351.9479769312312,397.62422817172603,361.26287568020786,352.7947802942809,362.3043781277364,366.78379467115957,381.3314402940876,395.17431945671706,397.386565613211,387.0836417547265,404.3680050341506,382.08359254007274,372.7777661113513,384.3326604685865,405.3168094990035,374.1126689338951,393.3403393133825,345.0559885396133,369.187431996388,349.73679374425745,352.2286349648094,352.4330327845675
2019-08-15,380.6045693493247,380.9126872265481,374.2159680939945,400.1470083795899,379.3045559001113,394.3357325866064,364.1275586300419,0.0,375.8655139527832,389.88315106496685,386.71223847998664,413.0311897746261,376.8679806597041,401.45135767257835,414.8647759874202,359.9878063572177,375.1137069727828,384.5498734359162,385.7149344040219,386.55067706169103,392.35486013239023,366.2246880723426,402.5198012590602,381.9353741044049,413.35661402675674,373.19862806837347,364.31967074259,381.65482741760945,377.0159530654589,387.5201739880663,352.99491007283257,398.5175083415021,362.10140102246044,353.9542614434571,363.30393625746296,367.7564531229931,382.23275597252365,395.9543024842316,398.3617097246443,388.40098558025016,405.0947479968665,382.73196455494497,373.710763770337,385.4599512372446,406.09162507965266,375.1686424755573,394.2507010537971,346.2009239280922,369.51395852636966,350.8312518546693,352.92866376362474,353.4710255558897
2019-08-16,381.51955373680886,381.96307583146285,375.1488074965277,401.13906764008766,380.2816761210331,395.34414036254213,365.46527628048585,0.0,376.533987333203,390.6433397832448,387.447753073902,413.6374291388509,377.6378523176306,402.3253025423597,415.5571077173959,361.0928867395024,376.2975112892543,385.43427114292547,386.58256339473405,387.3345992345239,392.9639623882084,367.2487353366742,403.6098735766017,383.13022662818696,413.8711810393142,376.1003242469149,365.3214678799355,382.9419932580629,378.22700766675604,388.4994951427152,354.0426174739532,399.41068666384854,362.93946952063686,355.115044510123,364.30401721588544,368.7294853610338,383.13403117643355,396.73347105452206,399.33721665436826,389.7202010312883,405.8203126547602,383.3785944900308,374.64389038354494,386.5883826145215,406.865585205911,376.2253997998277,395.1610707652822,347.34709774963636,369.8362071793188,351.9267183505288,353.62731685302805,354.5097467495855
2019-08-17,382.4344050149411,383.01402128202415,376.0816135093589,402.13140041350493,381.2589975179101,396.35290035201746,366.8046061217148,0.0,377.200778381262,391.40245688294,388.18202662557195,414.2415468487035,378.40669069885723,403.1988738944028,416.2479232203049,362.1987739528412,377.4824249084175,386.318350867381,387.4497849479764,388.1176036744729,393.5709719048449,368.27321646223567,404.70068423436766,384.32619988524107,414.38296526825405,378.98922209731757,366.32357931185294,384.2306301610961,379.43928926856955,389.47901731464157,355.0908857385073,400.3035974667936,363.77693317554076,356.2768830041944,365.3044219362854,369.70270049431616,384.0350968391506,397.5116934572371,400.3128967114303,391.04099861063116,406.5445838054057,384.0233917465722,375.5769686325679,387.7177189835871,407.6385605140317,377.28272688476284,396.0712767974756,348.49426759383766,370.1541889925663,353.0229657274849,354.3244885773823,355.5489856388097
