AL	AZ	AR	CA	CO	CT	DE	GA	HI	IL	IN	IA	KS	KY	LA	MD	MA	MI	MN	MS	MO	MT	NE	NM	NY	NC	ND	OH	OK	OR	PA	SC	SD	TN	TX	UT	VA	WA	WV	WI
1300.76884794844	5536.20844766531	1072.6283493437	8685.86285029266	919.449482557401	441.868677794683	163.697977059222	10984.620139761	5416.56279473228	1639.22433580879	1977.29865183848	692.46051671521	1415.76042757371	2444.68536271175	2242.01917314388	1341.78069610709	585.714202190913	6362.64858404394	1070.3181111522	1007.68742536781	1638.87321480075	264.853529472795	755.039531167413	699.956394382977	2601.2093569148	4432.08139502349	252.338513322993	6176.81272603013	2662.97041001425	726.657852949729	2734.52998190411	3292.04594316167	229.874249160088	2033.53621696914	28375.0673070781	1368.90785536813	2309.81613748248	890.386717665603	745.44947171905	604.03934267569
1348.46393020494	5756.94072942457	1114.76754588106	9015.67517564702	956.216224243917	459.417154328589	170.208143384674	11425.686641527	5597.79673695259	1704.5371758471	2059.47837433139	721.291616849057	1474.35960019676	2545.57595160016	2326.54881047397	1395.73898544487	608.749995392434	6633.88775379772	1116.07987414116	1044.98068269285	1704.79330809251	276.380358858225	786.847993743432	727.053399371145	2706.01686603782	4610.06016428609	263.289892989331	6436.48182116263	2770.91983891213	757.818141121233	2846.10239472552	3424.42688437337	239.658064747554	2113.51101128258	29490.2648712984	1426.4997213561	2402.46675153054	929.506550773279	776.141498955427	628.706906502297
1398.76967530132	5989.18127238884	1159.24289647416	9364.06221010682	995.138911612188	478.020951097965	177.099250312956	11889.5477191981	5785.8835497945	1773.77222372403	2146.3844706371	751.814736700442	1536.21737347202	2652.02247212662	2415.55902549854	1452.80991276224	633.202368680419	6920.00275631541	1164.57037416271	1084.29321418617	1774.48854280038	288.584895144246	820.457240565718	755.652455703648	2817.1258980392	4797.85303151892	274.864270398934	6710.55621855846	2884.67748384232	790.848530788632	2964.19035211435	3563.90124486379	250.01119197102	2197.96361678105	30662.3716610201	1487.31103738696	2500.39212870574	971.053910281014	808.555637935838	654.891341709299
1451.84236569217	6233.55997102122	1206.1964045792	9732.16317078169	1036.35385038582	497.749100129396	184.395357635382	12377.4536546339	5981.03560092791	1847.18318028913	2238.30536054932	784.135217534649	1601.52482876759	2764.35881509987	2509.31327832977	1513.20152175897	659.164410326349	7221.81950684881	1215.9594006821	1125.7410359293	1848.17687094885	301.505923162494	855.97399405677	785.845067113654	2934.94175484716	4996.03970623879	287.097146589835	6999.85187671406	3004.57335126988	825.866655752679	3089.19684976074	3710.8720339425	260.968206723725	2287.16515094043	31894.4307605409	1551.52949115848	2603.91933260284	1015.18552010988	842.796392351101	682.694582340928
1507.84890042963	6490.73919841892	1255.77378267466	10121.1933818873	1080.00664193396	518.673871864559	192.122133020494	12890.6373199254	6183.46630543804	1925.04831020822	2335.54708072701	818.365297178532	1670.48457050822	2882.91460678338	2608.09786595571	1577.11811122616	686.7367989899	7540.20674196067	1270.42757850315	1169.45143102921	1926.11754621585	315.186540904577	893.511270282167	817.720502251914	3059.91265881095	5205.23570724097	300.025893441348	7305.36361784534	3130.95599433717	862.997907480832	3221.57779095844	3865.76609529206	272.565787859859	2381.40434168265	33189.6472478	1619.3539617073	2713.38140013259	1062.0685973487	878.979178493826	712.220994959767
1566.96672768041	6761.41718250797	1308.13116214007	10532.4491884408	1126.25256963839	540.875130565091	200.306971850049	13430.4115448143	6393.38840036265	2007.65520900957	2438.4354825923	854.624311577137	1743.31114934306	3008.05423028696	2712.19484318362	1644.76828601769	716.026655148536	7876.07930730925	1328.16694116328	1215.56109812088	2008.56878170418	329.671270968776	933.188739325231	851.379361538352	3192.49366664135	5426.09386469825	313.689818283266	7627.93185712064	3264.19403583339	902.375764666731	3361.78521960282	4029.03393363372	284.842872345823	2480.9882541094	34551.3914281855	1690.99442357895	2829.14828717809	1111.88107673972	917.217359125955	743.587809047807
1629.38532424094	7046.3285496384	1363.44813251948	10967.3133119379	1175.25767751269	564.435465964428	208.979131457568	13998.1829257167	6611.01316203779	2095.31135991823	2547.31660114739	893.039316342286	1820.23136601042	3140.14708153464	2821.91652372674	1716.39033685763	747.150101998347	8230.3967731872	1389.38131218656	1264.21272961273	2095.80924911157	345.009262305474	975.133170171196	886.938368586507	3333.17835794989	5659.30710041871	328.130278041752	7968.51136653601	3404.67641254142	944.142090543235	3510.31348398739	4201.15233145472	297.84074481853	2586.24361127384	35983.2014693734	1766.67311124955	2951.61053861479	1164.81269900619	957.63559560351	776.915466754543
1695.30606726044	7346.24666724433	1421.89142740148	11427.2607635239	1227.19899671578	589.445991789144	218.169851159247	14595.3818857187	6836.54806035361	2188.35786901873	2662.55790022456	933.745473342388	1901.48540707147	3279.61849259119	2937.58770355933	1792.24208343207	780.231120368336	8604.16574607798	1454.28717891778	1315.56074509676	2188.13314740687	361.250562101219	1019.47863341608	924.513639887528	3482.51082112594	5905.60973194105	343.390703408274	8328.15295577126	3552.81413261897	988.447856405484	3667.69285662999	4382.62406065232	311.603157040737	2697.51858397745	37488.7955585221	1846.62476433879	3081.17452171475	1221.06537990448	1000.35962033597	812.335952124598
1764.94396332321	7661.98439324101	1483.65574226344	11913.8636713816	1282.26564205593	616.00143765613	227.91248420698	15223.6732131666	7070.19773483329	2287.14415167622	2784.54891713824	976.886548203914	1987.32714121809	3426.88155064818	3059.5820196778	1872.58821621925	815.405358946854	8998.44168081078	1523.11465695609	1369.76616591076	2285.86212357946	378.448177067181	1066.36688245428	964.222968988036	3641.06044635149	6165.78025348358	359.516709613671	8707.97926257268	3709.04016522838	1035.45345624289	3834.49291399606	4573.98019731748	326.176492579851	2815.18293230816	39072.073995199	1931.09686493425	3218.27857997746	1280.85400973665	1045.52872192187	849.988528024974
1838.52796619313	7994.39601866718	1548.92669125658	12428.7992246487	1340.65939467424	644.205594331802	238.242589578852	15884.6467236086	7312.16149988136	2392.04775389935	2913.70409382516	1022.6154581077	2078.02494992356	3582.39733921327	3188.25621154013	1957.70758783622	852.81425270094	9414.33134961157	1596.10782808945	1427.00463903657	2389.33907783803	396.659189806119	1115.94776457686	1006.2022726301	3809.43027135196	6440.64427788849	376.556094210933	9109.09587824317	3873.811867602	1085.32957455339	4011.2913294105	4775.78095740543	341.609785854365	2939.62989082461	40737.1288720131	2020.35126967693	3363.41938453053	1344.40717029164	1093.30001045173	890.026611609897
1916.30204011668	8344.37762563954	1617.94944417328	12973.8563825867	1402.59558386619	674.166567650727	249.198166658012	16579.9815879556	7562.63199525308	2503.48614858183	3050.46292936547	1071.09471652701	2173.86273138291	3746.62711451207	3323.9958359304	2047.90963787238	892.609593738706	9852.99305242054	1673.52543437349	1487.4587255084	2498.9080236798	415.943598865567	1168.37967969042	1050.58293894238	3988.27188557771	6731.07602265838	394.558888354106	9532.79696356699	4047.61042131126	1138.25718860715	4198.73386215487	4988.6175542462	357.955004323928	3071.27798526657	42488.2473085884	2114.6634460965	3517.06756754252	1411.9678401045	1143.8168250733	932.606050111783
1998.52590752351	8712.87152738581	1690.93325022001	13550.9431203016	1468.30410243625	706.003121624848	260.81973585031	17311.4957232684	7821.79346099528	2621.88922335912	3195.29075818639	1122.49713017271	2275.14027473645	3920.06258967111	3467.23550013092	2143.50677939863	934.955277195918	10315.6377410689	1755.64200465955	1551.32067393796	2614.97559666843	436.365214174774	1223.82970315815	1097.5148841071	4178.28897903294	7038.00144406236	413.577511762105	9980.30244346044	4230.9427182103	1194.42868565072	4397.50693244017	5213.11286925211	375.267097899589	3210.5724872867	44329.9199149851	2214.32411551424	3679.76690856189	1483.79413401758	1197.2459854835	977.908418343268
2085.47660837226	9100.86472948773	1768.13068427881	14162.0929942292	1538.0299739501	739.841340127941	273.150495120599	18081.0252277765	8089.82101271591	2747.73635162827	3348.68145369791	1177.00602843743	2382.17332967075	4103.26551460319	3618.38456413831	2244.84834751487	980.032016357246	10803.5301896418	1842.74820450467	1618.79485603761	2737.92494923911	457.989102632077	1282.47433007888	1147.15414527424	4380.22138141119	7362.4015384717	433.666761117203	10452.983703663	4424.34305714623	1254.04822638019	4608.30058067073	5449.92284180721	393.604200049047	3357.98607543983	46266.8426015492	2319.63937938777	3852.07956154842	1560.16067037731	1253.76411127162	1026.11039069801
2177.44885262903	9508.5365803787	1849.79656903013	14809.4750124483	1612.03477521323	775.815134801119	286.236582514222	18890.5623589473	8366.87804289238	2881.50539299081	3511.15838008005	1234.81623347436	2495.29547044835	4296.7771415757	3777.93047420526	2352.29393496161	1028.02834732729	11317.9899354004	1935.15213343829	1690.11197811407	2868.18392578068	480.884743784077	1344.49965003797	1199.66919902689	4594.85781828809	7705.31395326519	454.883877353483	10952.1991666199	4628.37254504691	1317.33241112455	4831.92204571061	5699.73852406033	413.027752671315	3514.02156748998	48303.9194701848	2430.93151406212	4034.59880462685	1641.35834051516	1313.55009362771	1077.41018880332
2274.75679294555	9943.88208455118	1936.2011216531	15495.4140382232	1690.59742102353	814.069185760111	300.127212431982	19741.9778584641	8653.11331911339	3023.71613576746	3683.27614342149	1296.13470295898	2614.85855943427	4501.1623514796	3946.36343885666	2466.24548904788	1079.14416647429	11860.3918402307	2033.17903464014	1765.5111570075	3006.21927461955	505.088064819626	1410.10177913998	1255.23601675402	4823.05846335369	8067.83601096005	477.288587553464	11479.4590216601	4843.62106750915	1384.51093245944	5069.171710346	5963.2866099241	433.602581219027	3679.21303717173	50446.278275081	2548.53970224439	4227.97300056181	1727.69610930515	1376.81230577542	1132.02782877031
2377.73479382579	10402.7400569783	2027.62538899041	16222.3680721519	1774.01527148183	854.761379762969	314.874814787402	20637.4403455362	8948.6602203693	3175.00057909241	3865.62150239928	1361.18079788516	2741.23304189576	4717.05155344224	4124.2106899831	2587.10557020044	1133.60033264937	12432.1656421163	2137.17363856531	1845.23624721194	3152.5288289485	530.707389055588	1479.48725974341	1314.04110915632	5065.70659942106	8451.12786230093	500.943106092597	12036.3053329299	5070.70859422291	1455.82717066277	5320.89631565209	6241.33081693523	455.397102343469	3854.12805450737	52699.2542090846	2672.82010176442	4432.87855119175	1819.50172092714	1443.74414978965	1190.18026633933
2486.73893027972	10886.346658249	2124.38613855689	16992.9463859356	1862.60528617612	898.052539532742	330.535252111257	21579.0956048217	9253.63482980528	3335.92265773968	4058.81576153664	1430.18710525884	2874.8085950936	4945.10872413744	4312.03452704798	2715.3178630252	1191.62760014619	13034.8008112496	2247.50140296335	1929.55931445375	3307.62862894414	557.825690956114	1552.87345990039	1376.28573627196	5323.80367863147	8856.4166947084	525.912151280664	12624.3402318145	5310.28505021414	1531.5388074461	5588.03012649672	6534.6738337706	478.483545423114	4039.36816509546	55068.4083315525	2804.14690750763	4650.03255213924	1917.12205384409	1514.56473479402	1252.11073444035
2602.14868267114	11396.1141169009	2226.80264227883	17809.9491910948	1956.70523182558	944.120902109129	347.168097816359	22569.1449942116	9568.13230751302	3507.15464510726	4263.51530855662	1503.4003845553	3015.99556737832	5185.97127923536	4510.40935766387	2851.34315868908	1253.47810959206	13669.8418785001	2364.5476778568	2018.75184327715	3472.05389580556	586.526646230737	1630.48897118792	1442.17739960981	5598.37704692098	9284.99737561265	552.263088537038	13245.2767688563	5563.03228691873	1611.91893398077	5871.56569914087	6844.15706644043	502.937991383259	4235.57346839735	57559.5258633432	2942.91223411105	4880.1702698046	2020.92498559068	1589.50266256684	1318.07966727032
2724.36782509623	11933.3991222295	2335.21388452748	18676.354618265	2056.67495420077	993.151067360117	364.836849558712	23610.0600927498	9892.22665903024	3689.37560655277	4480.41433525985	1581.08197294062	3165.22515072785	5440.42511403823	4719.94948888667	2995.69190465329	1319.42088380208	14338.8880988609	2488.71916806122	2113.12100812359	3646.3856402708	616.894401041332	1712.57398956157	1511.94137885359	5890.52245308814	9738.23586215095	580.065785927007	13900.7773156814	5829.66348976963	1697.25617111054	6172.54136986352	7170.66413435765	528.840566655979	4443.42187365181	60178.6095915545	3089.52825759627	5124.11975388912	2131.29977311376	1668.79574298453	1388.35956382384
2853.82542300084	12499.6544540468	2450.00335959563	19595.3343747971	2162.89774250157	1045.34780200541	383.609130736974	24704.2259246	10225.9637053875	3883.32772459521	4710.24680641403	1663.50853961457	3322.95017277511	5709.15868694523	4941.33913975268	3148.86773218963	1389.74210775638	15043.5966435795	2620.44498958786	2212.98622554495	3831.24823263234	649.023343557082	1799.38066327318	1585.80994712594	6201.42606043087	10217.5758529813	609.392659221017	14592.9420126033	6110.92497458382	1787.85587352627	6492.04654168532	7515.11849668476	556.275622280608	4663.63345525961	62931.8881907782	3244.42552822654	5382.72406287483	2248.65778017218	1752.70026829158	1463.25081495053
2990.97909323492	13096.3471431561	2571.55739169487	20570.2644640297	2275.78208785792	1100.92309686122	403.556908695291	25854.0811971727	10569.3633449076	4089.81254688582	4953.78694644532	1750.97317137711	3489.645751548	5992.95539002851	5175.24402052698	3311.45084492475	1464.74793893277	15785.6785355398	2760.17778549824	2318.68007845944	4027.30307980404	683.011675245152	1891.17326544849	1664.04433304786	6532.34869156445	10724.5360458968	640.318772518534	15323.6706267039	6407.59729653879	1884.04078391236	6831.26020199771	7878.48806994215	585.331881888083	4896.97026197795	65825.8073787201	3408.05467493998	5656.8992947104	2373.43432904974	1841.49393332271	1543.06439880197
3136.31502943126	13725.0919459766	2700.26508181086	21604.7426743334	2395.76237086113	1160.10797690757	424.756847655117	27062.1507009133	10922.4136261231	4309.66841968674	5211.85088802429	1843.78557198911	3665.80992490299	6292.60553662178	5422.4021732151	3484.03128491292	1544.77028519856	16566.9009029639	2908.39466031746	2430.56731525108	4235.26097147855	718.955682875493	1988.22913828206	1746.92373432121	6884.60754817589	11260.7173995187	672.92164888231	16094.9249989371	6720.49387497157	1986.15169274028	7191.44049944975	8261.7834567303	616.102589443408	5144.24116017361	68867.0217480771	3580.88678757004	5947.63330815609	2506.08905127561	1935.44913576821	1628.1344364175
3290.35030655713	14387.4570013651	2836.56970247093	22702.5933567793	2523.30085150199	1223.15481269924	447.290511339777	28331.2426041514	11285.0692323369	4543.82705632663	5485.30054709965	1942.27320730715	3851.96404538796	6609.0616142936	5683.6098116173	3667.21837644801	1630.15898053828	17389.0815173248	3065.59783098954	2549.02831769804	4455.81910840658	756.960809869476	2090.83851108089	1834.71208771067	7259.65878551933	11827.8055085091	707.281426076341	16908.7349406095	7050.46380752179	2094.54787312158	7573.83119483012	8666.06113079708	648.685506881209	5406.30186710873	72062.3892538804	3763.41401447964	6255.90483079785	2647.10731963423	2034.86431746027	1718.82402230347
3453.63470249374	15085.1628782816	2980.91484603925	23867.8847158526	2658.88921391795	1290.31555104655	471.244563534591	29663.8518528416	11657.2475449822	4793.2294730349	5775.042992225	2046.78226571124	4048.65330961824	6943.11510667178	5959.66092352975	3861.70343477399	1721.30099932155	18254.086739316	3232.31568795257	2674.46036228403	4689.76872063053	797.133662597657	2199.30473913206	1927.72599848383	7658.997475619	12427.5712757668	743.480599820609	17767.3743670771	7398.39030572318	2209.60905462448	7979.98605686693	9092.41890780338	683.183370681682	5684.05832491559	75418.970941498	3956.14894050144	6582.80180144959	2797.00088788586	2140.05030051862	1815.5146468087
3626.75271161521	15819.9243239053	3133.80127488755	25104.9449960639	2803.05016053583	1361.87139575678	496.711233902137	31062.7217081046	12038.8266286644	5058.91737536059	6082.03346885917	2157.67801696622	4256.44847785303	7295.77218294151	6251.43066761542	4068.20472433064	1818.5925489854	19163.8339107263	3409.10403751607	2807.29562369673	4937.93236619518	839.596503535215	2313.94514141824	2026.27948544934	8084.23132754794	13061.877411323	781.604201466187	18673.091659857	7765.19039512964	2331.7346311095	8411.31295693555	9542.00306345473	719.703828160066	5978.46982962314	78944.0126717984	4159.62531211124	6929.46217787111	2956.30928706293	2251.31095545718	1918.62018771462
3810.32438604148	16593.6572093125	3295.73287114456	26418.3737283912	2956.33890108702	1438.12760381465	523.78858561653	32530.5997116061	12429.6420814529	5341.99010834301	6407.27693769901	2275.34583160617	4475.94423974031	7668.00761856809	6559.81287420336	4287.45590068085	1922.47894781875	20120.2856768291	3596.54666862319	2947.99234663487	5201.18055540408	884.460364492174	2435.09042797268	2130.69874032595	8537.08299251927	13732.6779228787	821.739592484403	19628.2948275789	8151.81719151521	2461.34555377306	8869.35972909006	10016.0035882994	758.359396816643	6290.55038394963	82644.9266261429	4374.39804839556	7297.12409176842	3125.60139413847	2369.0312365477	2028.56257349712
4005.00876593546	17408.1117377647	3467.2590397193	27813.0547947889	3119.34619228563	1519.40455561541	552.580734576896	34070.6883339172	12829.4841468144	5643.61677929288	6751.82943857195	2400.19216043836	4707.76020897062	8060.79813244228	6885.78997791499	4520.27044749003	2033.4147922873	21125.4417490047	3795.25636284316	3097.02279400416	5480.45119018779	931.839973082681	2563.08512344436	2241.3496563047	9019.51759902763	14442.0213007678	863.976360481659	20635.3109202897	8559.25611639217	2598.88473303301	9355.78250564656	10515.6551710896	799.268032143176	6621.37059070484	86529.2752960913	4601.04422472666	7687.04973437779	3305.47528669804	2493.55288766353	2145.81382010976
4211.5062260622	18265.2638369532	3648.93496012513	29294.1779750142	3292.69808551902	1606.02901561069	583.198198517909	35685.5281701644	13238.0922076415	5965.0573691586	7116.79918386015	2532.64532892476	4952.54191082037	8475.16563537046	7230.33470151557	4767.46566562757	2151.91080554259	22181.3425528109	4005.87542254719	3254.89380306247	5776.66714677763	981.858037493028	2698.28837291434	2358.60036078953	9533.40969614953	15192.0561743001	908.406200926096	21696.8039595473	8988.5273290562	2744.81869913352	9872.35793876733	11042.2380573646	842.55298723989	6972.06197821646	90604.7620686311	4840.16060233341	8100.53766659939	3496.56030181639	2625.24688827361	2270.86690442294
4430.55865197409	19167.0830926678	3841.34554337888	30867.2516680006	3477.0593180563	1698.37118522312	615.758294191535	37378.2628406665	13655.1578199208	6307.60590085189	7503.34920958403	2673.15608088587	5210.95976703551	8912.22287858032	7594.49427396285	5029.92748421136	2278.49641498853	23290.0618084318	4229.07748282868	3422.17146643559	6090.94417540974	1034.65363482312	2841.07349633733	2482.84695393035	10080.8279880564	15985.0261956622	955.123078801205	22815.3208648915	9440.68308495781	2899.63611085313	10420.8944477511	11597.0740834758	888.342815809595	7343.81816570671	94879.2087337093	5092.36659979927	8539.04714048446	3699.51863622463	2764.50208913407	2404.24828885004
4662.95304489271	20115.5733254381	4045.12816936979	32538.1192269729	3673.13549672579	1796.81330112601	650.385470762139	39151.5965849341	14080.3153975235	6672.69742818781	7912.69871918487	2822.1985858645	5483.71053618282	9373.0585791812	7979.39674273701	5308.59421320264	2413.73495771178	24453.6956368236	4465.56819518034	3599.38964301546	6424.28719917934	1090.36070696362	2991.82778417817	2614.50905129766	10664.0188462313	16823.2791410635	1004.2228374482	23993.5608796073	9916.80678593533	3063.85165516869	11003.4240029624	12181.5270726721	936.771552437859	7737.89663782173	99360.4901498731	5358.30159672059	9004.04015938671	3915.0450500578	2911.73849525998	2546.53996455823
