AL	AZ	AR	CA	CO	CT	DE	GA	HI	IL	IN	IA	KS	KY	LA	MD	MA	MI	MN	MS	MO	MT	NE	NM	NY	NC	ND	OH	OK	OR	PA	SC	SD	TN	TX	UT	VA	WA	WV	WI
2795.55052559876	3391.89038003556	1284.53191354713	15980.5864186125	1338.80768330867	813.082904116015	243.288352204493	5218.87047450232	3079.46908483088	2855.57286651733	1559.68987755527	607.513702568232	846.846632788956	1368.64514022549	3259.01338117879	1632.01536425058	1313.45302933587	1785.19771722265	718.305492298712	1870.96760466177	1834.52982183507	113.341899397831	409.327655911725	974.153526500546	4086.2953388343	3978.90927196164	70.1924728608097	2656.11830969152	1579.30202492267	554.972049847779	3035.3237250947	2272.02019665946	133.285425171153	2600.0762756108	18120.9999024236	666.332246430946	2578.76738685588	685.6210847804	532.878770613504	976.794107390466
2871.27400496327	3483.58677117227	1319.2773032737	16413.4000709635	1374.45074311335	834.803831204963	249.813672151437	5359.4281531729	3158.3666862462	2931.05786023154	1601.38013505811	623.684213131691	869.3827069688	1405.30377313641	3347.64757896402	1675.56657879526	1348.45216733277	1832.57399744765	737.226081632307	1921.70596558722	1883.60056472321	116.329094228331	420.26631641015	1000.42939323874	4193.8109649009	4086.3377631562	72.0238324658271	2726.82493457689	1621.83378307437	569.634103934237	3116.20482065506	2333.58587323203	136.814431118913	2670.26638753111	18611.7670862939	684.068568278781	2647.96253575664	703.512494202789	547.176044960668	1002.50083421444
2950.41974849273	3579.48918108329	1355.64478324691	16866.488905187	1411.84477240578	857.612783136782	256.659866982771	5506.38790706241	3240.08251026324	3010.31979911108	1645.14699347453	640.675300038703	893.013061561842	1443.73021084439	3440.19602451779	1721.24497882136	1385.22629942617	1882.37859642669	757.144718619929	1974.71828842627	1935.04592839128	119.476890067575	431.754157302103	1027.92161191764	4306.73685395709	4198.81250827226	73.9543064429747	2801.07832077949	1666.36183562749	585.06514160968	3201.11500825222	2397.99301065613	140.525983859502	2743.75876982837	19124.1616747896	702.686373067577	2720.49618109428	722.376402752687	562.171984766026	1029.52888726611
3033.15303367315	3679.7957396504	1393.71522964507	17340.8664303346	1451.08043419354	881.566941821234	263.843606820517	5660.06044262023	3324.71497604662	3093.55644447063	1691.09911645612	658.530513694673	917.793759898566	1484.02069792968	3536.84338720954	1769.16120002181	1423.86979084691	1934.74125100895	778.116393263646	2030.11355604146	1988.99256051006	122.794123588738	443.820139962921	1056.6878139361	4425.35690041263	4316.58554086889	75.9893697258484	2879.04176975399	1712.97876713727	601.308249250376	3290.24785833947	2465.38130182557	144.430074604664	2820.71835452982	19659.2010810663	722.234150929306	2796.53930948647	742.2665905811	577.902739766438	1057.94896212489
3119.64761580139	3784.72512787564	1433.5739440996	17837.6014259697	1492.25381468511	906.727171002529	271.382567864966	5820.77409139901	3412.36589993246	3180.97788377379	1739.35211968276	677.29606926183	943.784311259255	1526.27183448173	3637.78370475946	1819.43615497009	1464.48259089125	1989.79972551288	800.198263660395	2088.00660348142	2045.57197912176	126.290255816941	456.495016682127	1086.7961520765	4549.97371373761	4439.92340830136	78.1348557470247	2960.90517292693	1761.80133305397	618.405286506337	3383.85205090631	2535.89843683637	148.537156579728	2901.32010822672	20217.9570150301	742.75860117539	2876.27272352744	763.240507663366	594.406494930922	1087.83606086871
3210.08723479998	3894.48100141975	1475.31109627314	18357.8265734195	1535.46695312164	933.158026283911	279.295469926528	5988.87453782853	3503.13954438866	3272.80770997816	1790.02858115697	697.021292042861	971.04774457806	1570.57669357966	3743.2212789731	1872.19031588675	1507.17135293273	2047.70109505909	823.453564862451	2148.51805193292	2104.92220760553	129.975366663689	469.811391681312	1118.3105766168	4680.90775870516	4569.1086584787	80.3970012489328	3046.90816602712	1812.93151994019	636.405772728885	3482.16483551481	2609.70076568611	152.858122099679	2985.74887232816	20801.5537733418	764.306684755299	2959.88760790184	785.359581615077	611.723805124029	1119.26997214088
3304.66573490027	4009.29980789896	1519.02215259392	18902.7366505329	1580.82802710093	960.92809077115	287.602230319352	6164.72759760316	3597.1438150168	3369.2831181791	1843.2587627645	717.75849870263	999.65083282931	1617.05463298681	3853.37107765448	1927.55086355492	1552.04910564823	2108.601375887	847.946940702846	2211.77515121386	2167.17375880331	133.860222820794	483.804005737	1151.30535899239	4818.49998849298	4704.43960007017	82.7824649521302	3137.25211668097	1866.48569164322	655.358305549711	3585.40812627241	2686.95274411436	157.404611897851	3074.20039290478	21411.1767312518	786.945036465058	3047.5871824688	808.689426781426	629.897817075575	1152.33585263103
3403.58703483232	4129.46893018785	1564.80772606814	19473.599308106	1628.45205866627	990.110334805518	296.32396747198	6348.71906972838	3694.48907522985	3470.65616949625	1899.18113659219	739.563322465649	1029.66458999497	1665.81034580805	3968.45982209716	1985.66128328964	1599.23653534329	2172.66719291351	873.746953629346	2277.91210882345	2232.49554431009	137.956328089091	498.509812691139	1185.85347845863	4963.1135108866	4846.23184908478	85.2983693066589	3232.16276516868	1922.58793538714	675.319432383146	3693.86430941059	2767.82874230821	162.189869753177	3166.88185821694	22048.0727443983	810.725356381211	3139.58685391792	833.300081158263	648.97414967638	1187.12426648994
3507.06699242412	4255.23762461731	1612.77473035357	20071.7547181395	1678.46106812355	1020.78233982859	305.483127040187	6541.25603437563	3795.28857380541	3577.19508486143	1957.94247768935	762.495084767103	1061.16424442149	1716.96223983524	4088.72559079802	2046.66223077124	1648.86170309104	2240.07556446238	900.935057175563	2347.07047065906	2301.04193595531	142.275950287169	513.96797257236	1222.02631473666	5115.13384827574	4994.81983551135	87.9523075628738	3331.91711902563	1981.38321812799	696.343702891975	3807.81194775397	2852.51276132807	167.226955104116	3264.01221134818	22713.5539311278	835.709741923785	3236.11450323123	859.266413059761	669.001243979409	1223.73151745737
3615.33230288494	4386.8817521413	1663.03562808147	20698.6170940133	1730.98465158196	1053.02649921947	315.103529037438	6742.76766853982	3899.65864614669	3689.18504394295	2019.6993765358	786.616851883965	1094.22947680271	1770.65682037071	4214.41881103186	2110.71383906962	1701.06100764058	2311.01489971242	929.584790349076	2419.39942135742	2372.9983412505	146.83223201274	530.220199663927	1259.91040286555	5274.97097381513	5150.55664315187	90.7524110273506	3436.7724772125	2042.99226593786	718.493432905776	3927.56490071788	2941.19889938081	172.530362785379	3365.82307422735	23409.0000203116	861.972113761066	3337.41233265254	886.66854717673	690.030575939713	1262.26039850364
