V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
3443927.37358723	3453729.55660769	3461783.49408608	3433416.27510808	3437852.60748954	3435789.39061695	3462345.94648466	3446756.75093781	3456890.71343001	3434801.92243714	3434310.44713197
3387184.79121285	3396998.10024393	3405093.62115974	3376681.88206829	3381031.7403055	3378817.31416437	3405391.09558836	3390084.5931753	3400240.32426246	3377979.81234077	3377580.25103611
3330277.34283589	3340089.19796106	3348209.33536794	3319798.96188887	3324059.66234455	3321701.62408174	3348250.10415893	3333240.84664948	3343402.41198154	3321008.00842691	3320698.02287608
3273290.4257841	3283088.92361689	3291218.59874993	3262852.61919001	3267024.79017583	3264528.98446686	3291013.31837594	3276311.50720503	3286459.47253394	3263972.36262836	3263749.71650151
3216305.07745669	3226081.35569491	3234203.88744326	3205925.72788925	3210008.65564627	3207383.04539459	3233761.75319682	3219377.83471274	3229498.51098749	3206956.4380489	3206818.23229371
3159401.58261744	3169146.21912545	3177243.01400742	3149093.80628787	3153085.76199855	3150337.92066572	3176577.92994984	3162519.92312514	3172596.98862202	3150034.45669361	3149978.63030599
3102654.78157653	3112352.86733925	3120412.8831205	3092429.722243	3096328.81213825	3093468.34157609	3119533.20975292	3105810.70922332	3115830.81977418	3093281.18067565	3093305.25392024
3046131.94617156	3055773.30267841	3063784.97759912	3036001.96399931	3039806.79137618	3036844.45698595	3062704.84794792	3049319.93773896	3059267.54080934	3036764.77805293	3036864.6594822
2989899.63512127	2999473.75653135	3007425.08910618	2979874.55558567	2983586.71863662	2980527.58675334	3006153.49377429	2993112.97420313	3002978.86705143	2980551.00359674	2980728.70739022
2934017.96115701	2943515.39845169	2951394.97933221	2924107.80107369	2927724.13243582	2924580.00884376	2949942.90708679	2937250.15176501	2947023.72065265	2924700.4380139	2924952.54931815
2878542.84362837	2887956.66108171	2895752.81440707	2868756.85233483	2872278.40559315	2869058.72103623	2894131.45926607	2881788.39854401	2891459.88894984	2869267.61419506	2869593.17704911
2823526.78075848	2832847.53575487	2840551.66652526	2813873.95817221	2817301.15005502	2814012.93147752	2838771.93561065	2826781.57074382	2836340.80336251	2814304.97119597	2814700.62584773
2769018.85408914	2778237.27378312	2785841.55366603	2759507.3674915	2762839.56129901	2759490.21300512	2783913.50661549	2772277.5796215	2781717.25531825	2759859.17392421	2760325.33482261
2715062.90920799	2724171.73340472	2731668.49394881	2705699.80300562	2708939.22226104	2705535.16151706	2729601.53308213	2718321.1990771	2727633.22293112	2705975.07767719	2706507.05801078
2661699.72735321	2670688.82508687	2678072.66877828	2652490.9044675	2655640.49832563	2652187.05023654	2675879.49806453	2664953.23181297	2674131.00828736	2652693.67446487	2653290.30714882
2608964.81807682	2617827.70446305	2625093.98108541	2599917.13321758	2602977.32140799	2599482.5550375	2622784.83619843	2612210.61197426	2621247.81790954	2600051.85684987	2600711.31112054
2556892.2466598	2565625.6451354	2572766.1229599	2548010.71595512	2550982.0775002	2547452.99102975	2570352.14258777	2560126.1894046	2569017.68476659	2548080.73874266	2548802.13499346
2505513.48090687	2514109.03444174	2521121.62122781	2496800.44020719	2499681.70531569	2496128.95204734	2518608.23548859	2508730.48733559	2517471.02349122	2496806.25921267	2497591.12860812
2454853.70448959	2463305.81763282	2470185.81249862	2446312.18668812	2449106.3401661	2445536.25571088	2467582.50665947	2458049.91611058	2466635.93237561	2446257.11581146	2447103.34448926
2404934.0248612	2413235.15058325	2419982.23809234	2396568.39859578	2399275.79363682	2395696.76868751	2417300.30464636	2408106.83514265	2416534.91857518	2396455.57605826	2397362.06543129
2355773.39313039	2363924.74583634	2370533.67708094	2347588.52244295	2350209.83337276	2346627.89034924	2367782.45937266	2358923.44137156	2367189.43846905	2347421.0643027	2348386.40477835
2307390.55078905	2315389.66187568	2321856.81033206	2299388.38076913	2301926.01110867	2298347.06457583	2319044.20142161	2310515.33187032	2318617.99976164	2299169.91678698	2300192.88169051
2259801.77384695	2267640.97704773	2273967.46188013	2251982.51487568	2254438.98825959	2250866.98785013	2271100.95779515	2262897.26756247	2270834.3406452	2251715.85067451	2252795.08650916
2213015.93863994	2220693.96980038	2226878.23634465	2205382.18289644	2207761.83105689	2204198.94244353	2223973.19824198	2216080.84025159	2223851.0411042	2205067.80811271	2206203.88566142
2167044.47837256	2174558.09636703	2180598.8478042	2159596.52971587	2161897.48852341	2158351.1808699	2177657.84322468	2170076.10713961	2177678.37299211	2159237.56332176	2160428.12333296
2121894.7789845	2129241.58187897	2135136.49281392	2114631.40838855	2116855.06285665	2113329.83357608	2132161.48230312	2124889.64619519	2132323.6890519	2114231.23680883	2115475.27929087
