AL	AZ	AR	CA	CO	CT	DE	GA	HI	IL	IN	IA	KS	KY	LA	MD	MA	MI	MN	MS	MO	MT	NE	NM	NY	NC	ND	OH	OK	OR	PA	SC	SD	TN	TX	UT	VA	WA	WV	WI
45276.2090264918	64969.3174131045	30967.2183509776	256119.593093198	32741.2807578383	49537.8210601149	11594.923348628	91003.9628841845	9448.68974573754	175531.551351735	86165.2698669603	42896.6241248072	34152.2045556763	50255.4988999685	41831.8898847987	71848.7242789762	86150.1924887721	139995.389703767	78696.3171419937	28203.1190796792	72475.6527485646	5490.59381734083	22641.850711875	15543.631140925	272303.475694835	95977.48971841	9618.84611472849	153457.723287898	41269.0405144686	18964.2282920241	163381.048122335	44215.1789265366	10323.5310206866	65675.20756944	244446.849375846	19476.122038425	91742.9120218878	32196.5503232549	20326.3461734508	80301.8353646348
43982.6679941154	63220.2520368128	29932.7756496262	251923.34547692	31472.9212924573	47856.4016129446	11205.4246547915	88356.2521691336	9416.17339814207	168289.729693244	82731.6098856765	40944.7875510753	32822.3440039024	48430.2919281272	40746.3133467923	69425.2307635367	83082.1552963511	134283.638819934	74876.890729158	27420.7583272586	69718.6819788707	5278.74048556649	21652.5509253461	14998.3341552926	262678.579986876	93022.733095687	9127.40966826569	147570.610815951	39857.1925684549	18571.3316538296	157375.285801813	42932.0218721003	9844.15013396974	63430.7285754926	237682.87499499	18701.3089239209	88756.1307606742	31559.4388669395	19594.3669853039	76770.6636382552
42699.9804159316	61556.9958035801	28933.0263143788	248057.756830681	30309.0158584698	46228.0491534001	10822.6899284917	85720.3594789524	9383.82149275757	161320.121194327	79395.3195929066	39098.7327545993	31558.8880464001	46631.9533260904	39671.314273536	67041.7038698398	80127.4362733888	128679.24776106	71204.9375934363	26647.1549079792	67091.9211115796	5081.553231692	20713.7041403535	14474.4286451898	253336.518169419	90157.7538854998	8660.76375176531	141738.96540441	38497.2036286159	18185.2831252748	151486.206784067	41673.9474911643	9390.98111079004	61226.7636675776	230978.143544855	17997.0982943276	85831.9619450824	30935.1709596602	18870.1929337219	73341.3382662348
41448.3594237804	60016.2746066143	27983.7984054987	244268.558782448	29250.836681819	44632.0817696812	10445.9968161725	83171.6341287352	9351.06679020229	154660.630270813	76181.4835425544	37359.4537451687	30372.3825915858	44914.0104802196	38613.0924641804	64710.8035860001	77248.2636439261	123359.348028445	67763.3552967849	25890.4880391536	64601.0011623052	4895.33380444595	19831.4852241227	14002.1072768983	244218.566618701	87364.7814519907	8214.8070581333	136178.466949184	37202.6568534825	17814.3552239575	145787.682611403	40453.0660794298	8958.80942137166	59146.9850306048	224550.729487665	17336.6347162688	82976.9329763844	30332.1194402544	18170.788348229	70105.9235046756
40252.7911897171	58508.3095726917	27073.364002178	240425.181798553	28249.7349726562	43084.9444845892	10088.0742123729	80748.601257138	9316.21461548319	148328.142154625	73142.7335334016	35700.6544615092	29236.8535616606	43283.9334003644	37613.136326602	62501.8943421083	74449.1781788285	118339.708202663	64498.0771441058	25165.6818440568	62193.6771409499	4713.22959352622	18997.5248337341	13564.9555904001	235408.151549772	84712.2859773886	7798.69969514091	130909.645690298	36002.3266731735	17430.3390877773	140381.175688286	39287.7672212744	8553.80558593596	57156.3181398125	218673.158281407	16697.4677319065	80264.305694096	29721.092520218	17510.2929667259	67049.6708002401
39138.6045355367	56971.6358396745	26212.1538164892	236671.782245267	27223.8576988043	41572.9987746178	9739.9346035498	78464.0694412183	9276.64285570973	142180.550423827	70180.2010261096	34111.2695898105	28118.5593151731	41678.3755269704	36703.6410493171	60351.1271032984	71692.2017015368	113460.292305617	61439.1066235371	24496.6424400055	59838.327210114	4532.4045723819	18189.0813936022	13110.3007814713	226792.555316765	82142.4829269859	7411.39485557656	125744.705143153	34822.132310971	17067.9218558133	135106.019243085	38166.3793812435	8166.62739922521	55262.5513671707	213106.520292139	16046.6577394885	77615.9033773132	29129.6443159183	16865.0352227646	64116.2968319068
38069.2070860971	55469.1847984821	25378.5200363764	233039.277346928	26214.4433741116	40096.0860672855	9395.10731735476	76271.5570692271	9235.09155844567	136346.70138961	67375.2108632481	32586.8123456614	27029.2802342469	40152.5398395894	35790.1604874738	58204.3515101833	69036.7009721793	108850.644034765	58542.8709014493	23845.2198359804	57569.9528301289	4364.11272019427	17392.3036146324	12658.2136449243	218467.221243586	79587.255169829	7044.83038531995	120856.567239937	33663.1676500897	16734.2210906771	129991.845573179	37074.7328375003	7794.87090983068	53446.6674566456	207325.273839652	15430.78005961	74962.0113471613	28579.7546973623	16236.3993789219	61349.61324666
36985.7482417802	54040.9522035951	24535.1367972937	229636.572945083	25276.6049123642	38693.0552675851	9070.91650466791	74101.1950109033	9194.25993715527	130846.292582386	64706.5212018233	31154.6573727185	25971.7420937431	38672.9147322697	34850.3201759579	56194.4265215184	66510.6942898194	104543.075093009	55783.4673409326	23171.3518131312	55358.4977669106	4208.44482773257	16652.5540704408	12229.3838792266	210587.09267863	77156.2417042067	6693.41640535128	116231.351009157	32505.3928656528	16419.9743095189	125185.058745661	36018.8602441435	7447.00763042645	51644.6394390509	201585.427785746	14870.0888754643	72474.2708991074	28053.1728747673	15647.8589704874	58765.8764269843
35907.873364078	52685.0568511532	23715.939344658	226254.813685518	24436.5523597293	37361.7452276235	8765.28704669367	71936.5115513649	9153.59686031155	125631.479587594	62177.9894138603	29810.4028499061	24996.0069652667	37276.3739431918	33935.6160124375	54293.4669098935	64131.408144024	100385.028992346	53172.981805172	22513.4059452647	53296.587046307	4062.02837189761	15972.9588227687	11838.6151846577	203095.420029188	74829.7809082027	6363.14336863434	111777.46278756	31402.0801908722	16089.6941979082	120604.99437092	34987.6254611423	7121.64203864244	49891.2354365002	196108.416422619	14335.1700593106	70113.1784747817	27512.4670095357	15087.7346004833	56287.7092909325
34907.5388717548	51333.1832960763	22971.0450667134	222918.30331656	23626.2501556416	36057.7567664248	8463.57900770301	69912.9619846782	9112.80440224295	120708.360717066	59779.2076717851	28549.9507517167	24110.2865135744	35950.9954511718	33077.5124098829	52428.9853675921	61805.1744153641	96414.1852825972	50728.0394552811	21904.7783746938	51407.8691654314	3919.9472387708	15340.3764167195	11456.1261421398	195747.147164009	72571.7467141698	6059.25529612486	107489.243595319	30388.6838838034	15765.3086755718	116145.295532982	34003.0979073154	6816.13324479589	48280.1653060531	190900.19060864	13813.9667981151	67803.5875065002	26974.7523807835	14545.1569169781	53939.2704292011
33961.1672659211	50002.4545349499	22263.7150097048	219666.371983547	22837.177381406	34815.8490810658	8178.00067134572	68001.8675480905	9072.83623747513	116056.198289142	57524.8771127705	27335.6215022418	23239.3306966703	34707.498574605	32243.3606174274	50657.4779230019	59582.825721446	92696.0208042544	48391.4606714899	21316.6843551697	49599.7921689905	3778.24048092922	14713.2513574424	11078.8834601194	188792.980382736	70383.6547328904	5765.07261004766	103517.905568596	29405.564489347	15455.8681052581	111976.240543953	33051.4394901707	6517.24068084064	46748.4467571737	185780.018056584	13326.336377394	65593.5912859944	26451.0537686698	14035.4270729804	51723.9679220071
33030.5895158108	48723.5219069648	21548.5600286233	216334.626826042	22067.6418635644	33655.3016480074	7912.45269244509	66134.9297074213	9031.90114967971	111387.982460734	55282.3362208963	26139.6187988858	22382.1579007495	33495.0681496892	31415.4514851952	49012.0483440294	57508.7098436002	88982.0370142257	46087.4342253299	20737.1622292165	47795.7896641793	3638.93464993118	14103.7729987759	10722.1841057062	182219.365220768	68390.8156072579	5478.36335185064	99610.3697997175	28438.9645233825	15141.0352433852	108034.724458092	32159.0020127445	6224.30837945353	45249.9871302346	180713.285067945	12858.1556740914	63566.1389755688	25925.2131643313	13554.1781889851	49509.8643209524
32097.2301593338	47452.2415644685	20858.6536800211	212973.089240556	21307.5560949134	32475.088927295	7639.281793947	64275.9138238026	8990.53935970918	106877.226686526	53087.2556665917	24992.8830640689	21556.1649169483	32272.8609758348	30597.5541757808	47317.9032992027	55410.9035551095	85318.297719437	43886.444057776	20162.895375001	46045.5307818454	3504.4618532605	13518.207407469	10371.8925311451	175532.676111212	66353.7049548751	5202.81318786062	95676.0677712758	27516.6424357191	14831.3223300115	104010.124741021	31268.1487250457	5943.08096117743	43756.1469455004	175789.714120662	12390.5301840141	61469.792174758	25415.4640626888	13062.8520987596	47365.5912878198
31198.4733148509	46187.0729130937	20178.2147572526	209601.878435992	20568.2456247693	31284.7048810619	7363.82593951165	62459.2340470865	8948.33002432452	102607.458012004	51035.4990093662	23873.4150915838	20723.4204358835	31119.0790483379	29805.0991886737	45623.8733976397	53304.7738072587	81889.1049500502	41750.6408999585	19608.0608290592	44314.359051718	3375.02426803381	12936.3418569427	10027.5766299237	168899.406268117	64292.0332168442	4931.24975519293	92027.212335465	26587.1710653457	14525.7432272148	100061.477843651	30369.0320299347	5665.95928996072	42309.0598699007	170966.798974944	11941.1066254574	59363.2648787686	24923.8281852918	12588.8092442781	45340.2368935354
30311.608013228	44925.7920099952	19516.5792420714	206269.920127875	19836.421037652	30150.3111599847	7105.90875956012	60661.0435669521	8904.57063675574	98375.6403120227	48994.4083871547	22765.3343359152	19899.2210359803	29986.4087544403	29035.0804776324	44029.4003778795	51281.4697191324	78566.7334492126	39662.005745038	19063.4239640265	42605.7007829471	3249.39361649322	12355.0694389195	9694.07586809254	162572.809259583	62308.3178183271	4671.3436581064	88480.4379850793	25676.8260207899	14228.9337700375	96339.4559853765	29488.3291932286	5394.61701436044	40895.2466984443	166269.403398623	11495.7758591229	57373.8777010732	24441.4809814881	12136.368321674	43361.9409315732
29453.2461409526	43700.0980660505	18854.7979152084	203101.450955302	19123.7865117629	29063.7832882868	6856.40268271056	58890.0672433571	8860.87830769747	94153.1053533777	46958.9715243483	21690.7278449252	19087.1953752713	28867.7806520912	28286.3407504238	42468.1644315809	49344.8190959539	75252.0289210448	37675.0674261471	18535.1969711455	40910.066303993	3132.93853677964	11797.2866987596	9363.72265188386	156471.739674964	60343.6045613658	4430.72184549846	84939.5775822997	24764.5165900086	13942.1076914775	92702.0049879813	28618.6063201755	5139.37579130815	39514.5774184073	161554.500006173	11071.3266382551	55412.0824299799	23974.9539753584	11688.3225214877	41410.5449229841
28594.8197713584	42545.7019936688	18215.9453470226	200161.992163569	18470.8339797943	27990.0675298636	6608.66791758722	57131.3401155029	8816.41637133372	90182.6422720873	45024.6552727813	20713.1220368585	18353.0440153061	27786.3823139476	27538.2014386296	40933.3926729286	47453.9570514347	72048.7497758661	35832.5583857879	18008.6125093659	39341.8832503035	3024.04934297424	11294.9743312176	9056.17225181662	150459.535948818	58406.3874988957	4207.27173068763	81514.2312363057	23900.6447714955	13671.2999717854	89100.9180661788	27756.3135361648	4906.06872983114	38141.0364780227	156913.079783532	10675.0527921859	53489.0155569667	23526.7228418732	11252.2457507737	39558.0115202328
27751.2608854857	41465.3711362302	17603.6900490323	197267.143828569	17867.096198334	26970.0508238124	6374.17403160825	55410.8664098566	8769.97695947534	86380.816115541	43182.5828235346	19770.8885808769	17647.653273484	26756.7263573208	26797.3999348485	39482.5640526708	45675.5864100649	68995.9717248851	34069.1436070606	17490.3095274678	37838.7522287302	2920.05746482469	10811.4692124424	8774.49910532584	144733.435827672	56520.4634541041	3997.7870384436	78265.9777685025	23081.8699529545	13415.8557754073	85694.4910284532	26909.0255218132	4681.67540579154	36814.5229326495	152457.175245108	10312.2643662345	51659.4924690644	23108.1001031644	10836.9127088362	37770.4560660279
26927.5525841232	40407.0887290321	16997.3344459435	194406.054058308	17304.1330147969	25978.8397171187	6146.4788238115	53732.9423321024	8723.96362818548	82712.0300809072	41390.0951226856	18872.9099254843	16957.0663333377	25730.5719134504	26068.9559689064	38078.0894345635	43942.1474526013	66115.703673176	32415.5037299465	16980.3365398172	36349.6512527043	2822.74229375391	10351.3328383437	8507.4559693112	139189.763187824	54716.8726652879	3800.07993439133	75120.7334214696	22274.5219170131	13178.927009017	82395.6407476752	26091.4349495365	4471.13753821075	35501.8148149808	148167.823519119	9977.38757320627	49900.703373487	22707.4342959569	10432.6954343744	36087.0662112016
26138.0270586493	39359.7639100044	16446.6779451391	191557.963734827	16777.9613438188	25014.9114895155	5916.29259992729	52116.9149708073	8676.3296344562	79289.1804962179	39699.5752487915	18044.4391224452	16332.9403978452	24751.9359323625	25391.3097016615	36652.9156234801	42285.6019965854	63364.9995848868	30865.5571931003	16501.3703374141	34991.9440621111	2727.50063411251	9926.23682300721	8257.14386330062	133821.29398277	52887.8911660264	3613.16016633431	72052.2178586816	21551.9726675644	12938.1421527617	79136.9639622878	25285.1627002513	4274.68448200969	34271.3387614123	144208.499187966	9644.70582308057	48091.3031947598	22320.0831316497	10031.8914435098	34500.39784137
25420.8091426591	38306.7258623328	15936.9799824161	188789.667316884	16218.9261428163	24108.6783708527	5703.13368480161	50639.740186792	8628.92814622063	76088.5813484038	38142.4953731342	17252.0720968176	15717.6538145728	23881.0610538875	24768.9399103759	35346.265746625	40715.9025122782	60791.435717345	29412.7612229009	16065.3759400519	33711.2023820431	2635.89669827394	9503.1947613435	7996.99233448224	128810.527067149	51243.4182575127	3433.38247072097	69285.6097831282	20852.9107442121	12706.6639218468	76147.6151040782	24550.2217044716	4081.26995646201	33165.3202996546	140467.680686525	9310.00040573864	46457.395619714	21943.9619288761	9676.62684340119	33008.8966364791
24735.2896435244	37278.8470638571	15425.0269220485	186080.166647432	15681.3781237391	23254.9695238839	5501.65329288838	49251.3473433733	8584.46330707388	72929.541669062	36602.4275647225	16471.9934573922	15098.1487339896	23015.662829147	24158.2250635398	34099.6195387012	39248.3439146247	58299.7021714175	28004.7237504308	15643.5175648713	32418.3743636893	2550.04178390408	9092.4909925703	7739.75843237718	124067.823943868	49712.8561103012	3263.28066705073	66554.6417018803	20141.5118624584	12477.9295721437	73293.6296996015	23872.6553112392	3897.09086353312	32090.8312497799	136656.429013416	8997.0393919127	44901.375674557	21571.0124805437	9328.1764929922	31565.2094337404
24046.2763427003	36279.5215101456	14930.7283111493	183357.425040245	15179.1183173871	22390.1048677302	5300.18384573376	47873.6283582025	8541.13028657052	69968.0532892674	35139.0421023376	15756.798959743	14527.6241623484	22171.5187675831	23541.7442085652	32863.4862382813	37759.8603894199	55892.0950406804	26684.0955979182	15216.8270624273	31203.3102826519	2467.36309763385	8716.96211677151	7497.4584516278	119295.5566502	48186.6914862614	3101.22139546841	63907.0303983874	19469.2355660432	12246.9889362488	70455.5332473117	23196.6672841551	3724.90299038223	31037.2802014275	132975.213759551	8692.31312440635	43359.3415832981	21197.9138204723	8985.76609669881	30207.0239393009
23387.1551555058	35319.906422727	14450.4208560644	180806.551651295	14669.8619471543	21561.3375035468	5109.73668285114	46533.2994437198	8496.42079539019	67123.2157256949	33750.524641338	15069.9059732126	13980.234508824	21372.848458526	22956.9337518162	31697.5083649808	36331.5795798802	53618.1139033759	25421.1281472574	14811.6399568987	30032.5149883689	2386.90666695649	8356.71284251358	7259.16850299264	114747.518179122	46708.5318315088	2948.84768315447	61410.5336174577	18817.296231333	12024.3269198837	67779.0320583373	22535.1226780194	3560.2433161573	30026.2637510283	129432.075541569	8401.17188381476	41896.0711845729	20827.6934006157	8663.03121075181	28907.9435086777
22733.9545006415	34438.7326229557	13971.6514571106	178317.517954602	14201.3696772693	20774.7994208583	4931.3692443812	45215.9354853451	8452.50967934604	64354.1045813442	32397.8128894214	14403.8088238292	13432.6109544618	20598.1016128649	22377.9513207379	30608.3406472469	34980.2141594883	51431.0853512647	24220.3611779934	14407.4710252007	28873.5320496938	2310.54197971695	8006.57802399119	7034.20220824107	110424.494288067	45297.2127896461	2804.4966595048	59022.6982392957	18163.5297596537	11813.847726069	65260.9818220937	21892.8147931882	3405.46723488294	29030.1491601618	125919.807331449	8131.0081376146	40528.625953377	20475.5304825021	8358.77084570942	27662.7052824316
22092.9510561651	33584.8890358051	13501.4104190952	175790.587515233	13770.1672485257	20018.6125019993	4756.57475918142	43940.8737060929	8408.18833636941	61623.8219966538	31059.2250184224	13758.5210418579	12911.1620011141	19830.5271688375	21798.5840242843	29535.232237744	33672.5891197677	49261.693528331	23067.3968961415	14005.7043510151	27743.7829780091	2236.71185574599	7672.5522780167	6826.71938845442	106237.583969933	43920.0415101924	2669.33203893436	56651.6004039397	17545.316174671	11599.5594324423	62783.2103545671	21276.402659276	3257.993623096	28048.8927255666	122495.849820836	7868.04107859141	39173.2116041927	20125.3704341657	8055.24237337934	26433.6970726798
21474.2782759509	32734.0676492239	13066.7621138343	173326.322348721	13330.9602899255	19254.846508016	4578.04144806749	42691.8229515438	8362.72851813092	59075.6745537068	29792.2749562651	13162.7516717495	12429.8830166054	19090.2347116055	21247.5148234196	28432.655895916	32349.4457536764	47181.0151796187	21990.3798997613	13622.4118233393	26709.526599249	2161.7609113035	7360.58797060883	6621.90630885984	102053.712430093	42541.560218841	2539.520929353	54352.2504783481	16966.2624091041	11398.333168443	60290.5085279124	20662.0449689889	3117.81696705303	27107.7094614935	119254.069481713	7596.31956203051	37787.1475081099	19794.7532277781	7749.74095084932	25279.662143715
