V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41
6355124.7472258	5690731.82290926	5868202.27284202	4441688.90273826	6389545.48216833	2230508.97450374	5619608.99985856	6069982.99058879	6565384.76270619	7513070.77123682	6030313.23939493	6102251.49223547	6084867.66440064	6406876.8644385	6246706.87990838	6548776.82658438	6692074.57095943	5503070.88669362	5857816.23323819	5515879.12958344	6300145.10389232	6887154.97998202	5703924.06250391	5731266.68472604	6800913.66344281	6540827.9867802	5836450.38121988	5798846.47582899	6953416.75319673	5937122.41874136	5887946.94862361	5799794.91669696	3890851.16664307	5413756.07699359	5909518.07514528	5838442.38167169	5319732.8158402	5871294.85118123	6446219.77656174	5184886.41065314	2623528.15903168
6437444.94367212	5818554.231904	5994262.00933522	4344869.23739216	6472682.65254441	2157792.24070672	5735607.2632011	6145346.7100352	6610880.06918574	7612522.50235751	6153798.47149204	6175239.60245553	6223803.2579637	6351418.47312074	6368741.14637046	6621405.37407988	6778734.93485435	5636984.00552475	5980649.6060389	5641843.37010385	6424352.634318	7023592.00725662	5723797.62965781	5854967.04227417	6837450.36101415	6500375.94093615	5946107.65845678	5924650.99655419	7002851.66031421	6053003.18259245	6040674.25684129	5930020.97994564	3769667.20182182	5534058.4777889	5920756.34272712	5751415.31144689	5221127.12280243	5970825.20606223	6540629.07417168	5079530.83798436	2540252.32283821
6513212.00678003	5943364.40380721	6115830.67476687	4248540.97496987	6550155.68190677	2087825.43234591	5847605.26378329	6214644.55693844	6648634.33115692	7699733.60644535	6274432.17139228	6241960.63311799	6358181.8904093	6289922.35222948	6484274.56242637	6686765.76433278	6858333.85743371	5767855.68736373	6098155.52529821	5764990.45748004	6542252.0415565	7151212.87277642	5739340.9904713	5974659.57385922	6866411.75727345	6453014.16980226	6051572.86331253	6046599.88760149	7043800.37741653	6164275.20303501	6187862.30491076	6056132.5705463	3651322.82838493	5651050.51521772	5926182.2518138	5660740.07234521	5121001.40650113	6064791.67412326	6629476.13001736	4973063.37375313	2459763.62564992
6582072.21012045	6064678.09741958	6232387.0284838	4152837.60942483	6621588.66908012	2020524.49411618	5955152.79745603	6277566.54463418	6678472.92267491	7774193.8857178	6391705.23411058	6302121.35988734	6487411.20788969	6222679.32557074	6592739.10021461	6744532.60593501	6930479.05897624	5895171.30517788	6209805.63918991	5884867.90153039	6653267.51794458	7269299.1183418	5750439.74290354	6089843.29888948	6887616.67591748	6398995.79984774	6152415.57242331	6164173.81776591	7076048.1860273	6270459.55659807	6328734.08349917	6177583.22140879	3535875.27915317	5764272.51939003	5925800.7748072	5566734.39621746	5019625.30233671	6152787.40182729	6712310.27397249	4865767.9222432	2382009.24642324
6643694.38466889	6182002.06285737	6343413.79195247	4057885.99908638	6686612.95970687	1955805.99018535	6057792.47370175	6333835.7889802	6700266.17068187	7835482.71460801	6505100.10098798	6355449.92467682	6610880.64369236	6149999.89456716	6693579.79803116	6794432.44528017	6994793.03763852	6018406.00722759	6315069.61750455	6001007.49700178	6756852.19911499	7377183.10723329	5756980.88487802	6200028.80090965	6900926.242185	6338584.34488357	6248207.1660751	6276878.51566923	7099412.16742472	6371077.94050682	6462520.99544256	6293847.24577671	3423368.78356732	5873269.30634133	5919609.98561107	5469751.98030376	4917256.90759194	6234417.20696202	6788711.26070126	4757921.18893737	2306928.98262672
6697771.95183419	6294829.34171499	6448388.97504329	3963800.54143264	6744866.85847878	1893586.98040825	6155084.28579914	6383197.70855139	6713932.72025231	7883278.85493494	6614056.28895123	6401712.96940243	6727997.1845088	6072206.60906216	6786295.64345756	6836212.15066016	7050927.10414663	6137043.71222258	6413440.93252916	6112927.78446695	6852489.29229218	7474242.61719053	5758874.88354512	6304717.54525999	6906245.66963969	6272092.32673861	6338505.29315716	6384207.03631841	7113803.64506121	6465668.61534679	6588491.20120847	6404391.96437777	3313833.86124907	5977577.85310946	5907645.45541812	5370123.72771553	4814136.12745518	6309301.14991216	6858258.24746221	4649786.49757168	2234458.19779446
6744042.52631945	6402647.2642809	6546821.88754337	3870683.15412397	6796015.24533376	1833784.05581659	6246572.13282833	6425425.96500699	6719420.40254084	7917359.62822841	6718026.81432924	6440695.06698205	6838175.54126668	5989635.01719384	6870425.92466868	6869667.66436511	7098568.7205519	6250551.89082032	6504444.64157832	6220135.76022958	6939676.6843899	7559934.57425696	5756021.12728518	6403436.58870038	6903492.88487961	6199845.12188548	6422893.43814563	6485656.34462308	7119139.95385573	6553773.17293231	6705950.40404333	6508696.546209	3207285.18797631	6076761.81233319	5889953.959872	5268203.93780415	4710499.18805365	6377103.66114618	6920561.93611873	4541602.88685297	2164532.44977236
6782265.09578671	6504950.6063751	6638228.00061294	3778629.32584605	6839757.76370075	1776311.54205556	6331850.96475523	6460327.98301115	6716716.22510497	7937600.14057592	6816456.86726837	6472223.7384326	6940854.09318208	5902631.79901991	6945543.43930809	6894624.78027129	7137429.62823917	6358404.1056786	6587640.3608193	6322148.85279238	7017974.87963535	7633780.28420268	5748362.38637142	6495711.39790403	6892658.72945292	6122177.90780589	6500949.67881008	6580738.51470305	7115390.46627931	6634964.91529692	6814243.50324337	6606256.76045366	3103734.35096284	6170365.09889962	5866629.94110067	5164312.34148489	4606568.26378576	6437512.3885016	6975256.45074541	4433598.50096688	2097085.64728393
6812250.37369585	6601217.3886976	6722138.84881846	3687726.98125505	6875825.94490365	1721090.72487972	6410518.29297629	6487745.97675988	6705855.77309931	7943990.54829914	6908782.14702271	6496162.67105416	7035480.26241133	5811554.64492449	7011248.59134606	6910957.04457985	7167277.335801	6460096.04952046	6662613.77463532	6418490.89082688	7086962.96807161	7695378.7821995	5735865.7753906	6581093.74855958	6873752.64290169	6039437.33698225	6572302.27858776	6668976.84146259	7102583.075213	6708833.43362844	6912770.15990078	6696583.19278033	3003172.53371973	6257961.85393503	5837758.82847204	5058775.12921576	4502562.71482754	6490251.18931531	7022008.09686751	4325987.16418406	2032047.55397054
6833849.46277847	6690957.79511642	6798138.4683734	3598047.08723484	6903977.66336057	1668039.66671541	6482192.41033842	6507547.47456128	6686917.25979005	7936612.58506939	6994444.49142151	6512398.57398822	7121535.50431036	5716749.35749361	7067219.68533763	6918579.89772923	7187929.45425738	6555124.25903356	6728998.42201512	6508675.67008301	7146288.24488439	7744398.22271925	5718507.41123244	6659155.2141691	6846832.77569908	5951993.49284143	6636566.51885723	6749921.2892528	7080780.21156884	6774990.70407568	7000967.52029677	6779214.88794013	2905582.08415052	6339138.89822811	5803471.27575119	4951889.2482869	4398678.7791473	6535068.05098336	7060492.74688897	4218975.55505818	1969349.86560033
