V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41
5219976.80433641	5060770.82365003	4989126.8421447	5414808.57747103	5390305.48204675	5421512.35802054	5056522.24737578	4990080.05520638	5032843.83452914	5870369.61412692	5812906.76649211	4831195.44260696	5525088.4260798	4914080.52758405	5087265.30416599	5180728.45354311	5402889.69519097	4975993.98013566	4612424.0983433	5073137.02312557	5050436.00696417	5661364.76038936	5237354.72327153	5180978.47169737	5691270.09554603	4957476.44174693	5448014.06352857	5372402.24466097	5100303.10643926	5287696.84909672	4861390.19989707	5488066.72373181	6162211.52914744	4700722.96349904	4811641.8631742	5230484.93163433	5261811.25329697	4840467.30933409	5377709.80386102	4876899.22745508	5595991.20414989
5360329.19691995	5206935.41102204	5134955.3244416	5537809.6875885	5538449.27339759	5546971.9758991	5183972.80577077	5117313.60239088	5173574.52843425	6041912.86934538	5961670.17564444	4962194.19428026	5676715.73642709	5055205.46333667	5238023.31699967	5327318.57538369	5560779.19957704	5115326.21826995	4757390.29971022	5208958.77445027	5207334.4790128	5830430.53192806	5348275.48090339	5316249.19767006	5838027.04714417	5098143.01313018	5573508.96364282	5508815.33316644	5261311.27794745	5425087.85528811	5015097.08797937	5618816.77240848	6320421.03009141	4832370.52739201	4922263.11282816	5361655.19563189	5394347.85412984	4970485.618553	5533892.34210228	5011745.54596445	5723292.93552727
5498137.0849419	5351497.72744443	5279200.37041078	5657575.25166255	5683996.24885633	5668891.30309558	5309004.02119042	5242149.61970869	5312237.18600107	6210029.90921944	6106921.33985153	5091340.6010269	5825517.9596461	5194669.6338483	5386993.33241279	5471697.11629792	5716305.92829168	5252953.72813908	4901699.50346612	5342738.92351879	5362849.55111007	5996707.49682013	5455924.51492563	5449058.77946358	5981120.15444111	5236949.38371193	5695556.87589805	5642329.29294575	5420970.06468546	5559767.24137981	5167970.3441141	5746168.20842249	6473845.78217935	4962694.57355513	5030374.30414236	5489919.4315926	5524199.48923445	5098603.40779913	5687841.59125214	5144881.28680218	5846598.04000494
5632900.32795893	5493977.87236599	5421366.8828433	5773699.15860063	5826410.58663935	5786846.83899627	5431176.20924769	5364155.8206178	5448315.40140782	6373921.46138233	6248118.21494326	5218197.0791659	5970914.84589337	5331974.16549264	5533632.41592485	5613332.36211425	5868889.69030921	5388422.10154583	5044870.34978691	5474045.89511179	5516414.36731567	6159449.29980891	5559950.64953822	5578941.22544648	6119971.24159475	5373394.47716316	5813698.15770134	5772449.49043473	5578709.9793657	5691247.99644182	5319432.2911291	5869628.77651628	6621811.78666549	5091284.95086343	5135607.1318916	5614794.3750897	5650902.04029907	5224376.49242863	5838997.61029895	5275853.68620344	5965448.90778578
5764099.29071765	5633880.76182543	5560952.73822066	5885795.49167889	5965162.18253233	5900417.21885179	5550055.98794114	5482894.4245829	5581307.03791176	6532758.04348162	6384725.69159091	5342324.26920854	6112330.81059427	5466626.57559568	5677357.70442179	5751685.78527182	6017903.9003612	5521259.14625248	5186420.58828238	5602427.74493126	5667444.97103575	6317916.27473769	5660003.01963218	5705422.57808485	6254015.51168801	5506967.26975313	5927500.63952945	5898706.95016157	5733938.15729354	5819047.82770896	5468871.29555653	5988726.32484591	6763660.32828628	5217711.32985486	5237619.10485812	5735800.39891619	5774005.39504688	5347357.8406843	5986794.23564901	5404197.0834943	6079392.78969561
5891234.64795608	5770719.6027614	5697428.85040402	5993455.66812928	6099708.15372919	6009194.41210689	5665211.34682169	5597929.51419125	5710699.84805031	6685728.84480266	6516209.35650759	5463269.90757634	6249194.12354297	5598122.23020881	5817586.09872271	5886211.73651898	6162758.04611438	5650982.04643586	5325822.38931023	5727427.69417393	5815336.41145824	6471358.57140543	5755735.93178684	5828018.0695776	6382696.67094305	5637161.16114905	6036534.37301936	6020612.80035769	5886038.03105798	5942669.57575225	5615656.02422708	6102989.80828663	6898759.89475131	5341552.48391397	5336059.17895981	5852437.05223321	5893049.11659163	5467093.94876312	6130660.5694513	5529443.21957546	6187982.53145833
6013787.52634189	5903978.3507819	5830280.3939828	6096306.57260022	6229520.15575869	6112805.52769979	5776209.45272128	5708819.98220813	5835989.17336758	6832017.38943276	6642039.64117894	5580586.73647707	6380916.60130413	5725951.10063831	5953734.54444807	6016371.52187371	6302843.279529	5777113.7657698	5462557.96894274	5848591.47265641	5959482.98441308	6619024.16724292	5846814.91379131	5946253.02143125	6505459.18771422	5763466.95336203	6140375.1803361	6137685.99683602	6034403.51061697	6061627.24468269	5759144.53636552	6211945.5382513	7026501.46669197	5462367.65067688	5430581.9357653	5964240.65456407	6007580.90486081	5583127.62851097	6270004.17285173	5651113.43724274	6290812.3870855
6131260.23094583	6033158.27714547	5958971.99061293	6193984.68190518	6354064.45294721	6210876.66699374	5882622.28702235	5815131.78929288	5956653.02826726	6970816.88276228	6761680.75057552	5693814.45759924	6506933.12776961	5849607.55048234	6085208.50209554	6141620.56638473	6437559.68560076	5899172.52710083	5596096.43956564	5965469.96806723	6099279.3765858	6760171.71803973	5932919.30614926	6059663.22718201	6621770.51788431	5885356.72466333	6238609.15180992	6249446.31479247	6178391.9774539	6175438.4465923	5898676.03793194	6315152.99637475	7146280.6089074	5579721.81797321	5520835.71355598	6070744.9620523	6117152.06536296	5695001.74917597	6404245.66226753	5768750.22953138	6387505.71641599
6243157.95317786	6157748.2824871	6082975.77336531	6286128.74443039	6472818.96936805	6303066.12304001	5984033.63910685	5916448.15043907	6072198.7032148	7101349.50583292	6874647.43852346	5802512.15070417	6626682.71609214	5968587.34392137	6211429.33826298	6261423.81608649	6566328.38852978	6016675.88152068	5725891.32004456	6077597.48166371	6234115.66101632	6894071.12748582	6013755.1663759	6167781.51878568	6731127.18549502	6002341.26918867	6330833.50708749	6355438.91984565	6317398.73848945	6283643.84791909	6033585.17224802	6412159.69853664	7257564.88476244	5693181.31648527	5606499.5897999	6171509.12855376	6221330.68187768	5802276.07493132	6532828.37518473	5881895.40343577	6477680.72576253
6349000.51838336	6277255.93211933	6201769.9472201	6372420.86235478	6585291.79966676	6389066.56484228	6080038.03952722	6012368.05463847	6182123.09631631	7222856.43668488	6980458.00757924	5906245.06143505	6739624.67573986	6082398.02921357	6331814.82526434	6375268.0466025	6688563.09755631	6129148.608384	5851400.69245925	6184551.42034755	6363376.20873829	7019993.66605013	6089026.5723708	6270165.81496917	6833022.33692605	6113926.17729283	6416689.25455193	6455217.41726845	6450790.14822495	6385778.00804208	6163210.16053258	6502556.33588712	7359861.44932768	5802307.47427232	5687265.93619411	6266094.47283255	6319704.83198888	5904520.15340678	6655200.27977005	5990083.67015971	6561018.12966879
