V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
5593208.74624582	5575479.64468409	5575104.98909576	5587465.77499372	5589978.29931543	5592674.58016419	5591955.97223519	5583069.81454089	5580931.86441673	5582480.08984463	5585410.24017925
5457613.38926116	5439918.75364865	5439450.64554911	5451571.70785869	5454311.42606889	5456785.73231079	5456165.10186174	5447464.5051859	5445249.50780862	5446688.9054553	5449934.08591914
5320284.97590787	5302674.82258684	5302125.65238326	5313978.40867086	5316930.35862202	5319186.43129289	5318657.97831305	5310159.28375414	5307877.57776009	5309207.08679906	5312739.28556771
5181685.39678716	5164210.93957957	5163577.65093563	5175152.01169168	5178296.23268828	5180333.57837721	5179894.68616654	5171616.60010467	5169282.34581558	5170498.87532181	5174285.12305582
5042261.31534312	5024967.69283184	5024255.35850236	5035534.51467614	5038848.85622652	5040672.57561253	5040321.21281374	5032272.99485612	5029900.97808358	5031000.78003154	5035016.95454848
4902426.61407653	4885359.4531594	4884573.78813745	4895538.7224796	4898999.85708622	4900620.75639804	4900349.50174917	4892545.24948654	4890150.43365207	4891130.09539181	4895354.60153902
4762575.70291364	4745773.69632201	4744926.60205569	4755558.99209705	4759148.22458977	4760576.08389599	4760375.64549044	4752830.092296	4750423.8415155	4751280.50628149	4755688.86759013
4623085.97400583	4606578.07787099	4605679.63582801	4615964.99216305	4619665.84268973	4620899.78702136	4620772.41957873	4613501.12797527	4611082.58462581	4611820.47570141	4616382.18460509
4484283.62962895	4468110.74102086	4467167.96156983	4477092.58739512	4480891.21329609	4481939.61215971	4481881.715927	4474879.26573825	4472469.27505429	4473081.94379262	4477781.38381567
4346498.86383776	4330684.69631379	4329700.1875197	4339263.5861643	4343138.43404433	4344011.12551072	4344019.41495215	4337292.73357801	4334892.00216403	4335388.7313505	4340199.96881254
4210011.96975432	4194580.68890002	4193559.00740681	4202756.21832758	4206690.72729948	4207396.9205226	4207464.38224165	4201015.03820674	4198636.69900211	4199016.90188	4203915.66973721
4075102.54437398	4060070.26187654	4059015.33851615	4067843.91934436	4071822.12404763	4072372.63610317	4072494.09866057	4066322.56306622	4063973.48490807	4064238.6197991	4069208.08147807
3942001.86154198	3927387.07492569	3926308.02734951	3934764.59350021	3938770.0281339	3939175.41960355	3939348.77962137	3933452.59420415	3931137.27314017	3931289.22779203	3936316.57519446
3810927.14565231	3796739.08492991	3795643.8495027	3803727.21056367	3807750.62514353	3808015.73160897	3808239.17496287	3802620.26622783	3800341.09738008	3800384.01241424	3805450.67922243
3682072.69538858	3668317.61273339	3667210.64804215	3674924.74585461	3678952.80752372	3679085.66635017	3679352.23578918	3674012.51316485	3671776.52112812	3671714.40533156	3676795.74253992
3555595.51482963	3542289.94501744	3541172.07423874	3548518.46423582	3552542.17644788	3552552.68457819	3552855.85921842	3547790.05951884	3545602.32896042	3545440.3826171	3550525.98933756
3431648.01052605	3418796.65243796	3417672.15718713	3424657.49906457	3428663.35843216	3428558.46193986	3428897.9827743	3424101.95592056	3421964.83896217	3421705.98057216	3426783.56881383
3310350.3545315	3297958.13224764	3296831.76641003	3303459.14339631	3307440.97617601	3307228.47049339	3307598.48312585	3303069.87116836	3300984.1979189	3300633.54667437	3305692.48867477
3191808.29526604	3179875.00862868	3178748.63003806	3185025.16003802	3188977.00315711	3188664.4342445	3189063.49663122	3184793.89920997	3182764.68381875	3182325.12450805	3187350.11801437
3076107.24905698	3064634.31731234	3063511.14180414	3069442.27411937	3073355.88040885	3072949.90847738	3073377.93286805	3069360.12864349	3067388.84526812	3066864.07970541	3071845.3005664
2963314.51160818	2952301.40866492	2951186.49385606	2956779.99334554	2960648.11701334	2960157.15407816	2960609.20398438	2956832.87671633	2954923.55506428	2954319.38024691	2959248.58918143
2853484.53872227	2842928.27406886	2841821.32609777	2847088.4606932	2850906.13762955	2850332.7215575	2850808.28820157	2847270.06502365	2845420.16900614	2844742.50833359	2849609.69768426
2746658.99173996	2736549.64487211	2735454.66590129	2740403.80833042	2744163.60723602	2743519.18735049	2744012.76468168	2740705.14340973	2738913.68879158	2738166.42054683	2742969.4494523
2642858.32913339	2633189.26218025	2632106.43828579	2636749.79822784	2640446.87914447	2639738.06164731	2640249.92713679	2637158.20654852	2635432.35997833	2634619.62137025	2639345.66550393
