AL	AZ	AR	CA	CO	CT	DE	GA	HI	IL	IN	IA	KS	KY	LA	MD	MA	MI	MN	MS	MO	MT	NE	NM	NY	NC	ND	OH	OK	OR	PA	SC	SD	TN	TX	UT	VA	WA	WV	WI
1556.53917891465	2266.07111132725	955.359374529152	10881.4622002368	1256.41105687115	810.105693772414	232.10712361538	4464.8045795775	1011.00029560737	2898.19001026183	1958.07326891694	837.554886400756	1005.36919945524	1605.65790272129	1757.96222779962	1609.52888312845	1321.49657608801	4077.76690129914	1446.29697074919	1030.53457778713	1750.10324091205	307.713940144726	614.097725556597	663.924230533123	4477.42693373467	3351.19186397204	247.940991821924	4298.22642727198	1482.27821071918	1007.64568560025	3433.09671303042	1861.8021938381	246.311076284504	1987.33324563282	11707.3759974296	979.027462727287	2405.19821871955	1589.80535522108	616.22696048667	1192.51338425097
1522.29674044735	2214.72677534299	934.14399107947	10628.0485924312	1222.15133299666	785.451921710617	225.675989727426	4389.46789472157	1002.28315991869	2810.08032378933	1907.00283252909	813.958158630762	982.473535340879	1570.37423066096	1725.50151624332	1567.0927553053	1278.44545740369	3979.8338263832	1401.86705500421	1009.2804045178	1705.94228202045	298.508750287729	598.822180174807	649.891807861588	4341.45201504422	3279.23107999941	240.763109639279	4196.49768796967	1453.02652484916	977.272128437995	3338.70744302483	1826.43202799587	239.414069124531	1941.4184880523	11524.4568323466	956.617627851913	2345.71059323044	1535.93267839334	601.558604016873	1153.69213424351
1489.31230262927	2165.31155755431	913.781100950476	10384.2467648361	1189.22889435656	761.826926594716	219.510261092711	4316.6608528068	993.946560002688	2725.89444423693	1858.14102817875	791.348957189882	960.499964728572	1536.55733144002	1694.22331603294	1526.37337024324	1237.21638880683	3885.95902252177	1359.31733101326	988.825487776603	1663.67285257501	289.67722147831	584.115925069743	636.317238551269	4211.24112204165	3209.95884726829	233.86646267116	4099.14816059726	1424.93607524807	948.147487212211	3248.25571310586	1792.2972571271	232.786075271483	1897.23994911056	11348.0400110012	935.062487413542	2288.58569658818	1484.39744655471	587.488425403271	1116.5771805425
1457.64564627415	2117.74075276612	894.237013048208	10149.6590079105	1157.64380065329	739.233137360876	213.608862630094	4246.62273813438	985.98821038339	2645.20779950577	1811.22685249236	769.61223641905	939.315741595321	1504.08419602712	1664.1400173329	1487.38168981366	1197.823219523	3795.75051339915	1318.49377419126	969.177798171217	1622.99363311999	281.208591973128	569.942508709389	623.235669175078	4086.63729436329	3143.26631501779	227.24274853704	4005.70884292934	1397.92850402963	920.208043434563	3161.60583346026	1759.38503234298	226.412476557781	1854.90389413451	11178.0872585255	914.311916066023	2233.81320474279	1435.09328925938	573.983584906303	1081.0567048393
1427.19802011372	2071.90168330808	875.414529389053	9924.13334603016	1127.33717267377	717.592920046852	207.957194695816	4179.33199702103	978.418746274838	2567.86915244692	1766.10992422287	748.750644760311	918.886320195426	1472.77709693136	1635.20599662652	1450.03561622362	1160.15772274039	3708.89228959482	1279.40736968964	950.280394866925	1583.8663660201	273.083419449549	556.321305811426	610.657616795637	3967.30760880392	3079.40462007212	220.890481000807	3915.67502583941	1371.79169137159	893.396590838522	3078.59337757016	1727.8295326688	220.301763594657	1814.19316085263	11014.1812123509	894.337159763119	2181.3161957951	1387.94154129575	561.008973463614	1047.06787212824
1397.87379285412	2027.79492262157	857.308709163746	9707.27032370158	1098.30413715351	696.852941178545	202.527074808366	4114.35592538368	971.228643212951	2493.8307139832	1722.80866372777	728.746215052434	899.213139129992	1442.6633011739	1607.30441971296	1414.09126482257	1124.14519221398	3625.22535057534	1241.9418638788	932.063572141526	1546.2675663594	265.290485063713	543.209697409485	598.558466787923	3852.89545322164	3017.85326224871	214.785314092156	3828.91518881486	1346.64828017954	867.694112883233	2998.76936776937	1697.4100168323	214.428285071039	1775.01282401527	10856.4570378397	875.082271471122	2130.77270403883	1342.87108789226	548.513146864676	1014.55887499732
1369.69920965458	1985.34669762355	839.929719008875	9498.50574091727	1070.43209266537	676.941264168787	197.305946411113	4051.99601507174	964.385148518869	2422.82460805678	1681.24026334075	709.506278465013	880.272331994017	1413.76973540152	1580.45826362406	1379.52153729703	1089.61243286558	3544.78047343747	1205.94465642209	914.52856623575	1510.10525732731	257.816317953039	530.581211172746	586.944510945758	3743.05003059937	2958.73924437345	208.920830984379	3745.66071084044	1322.45334128425	843.085901408305	2922.05231161003	1668.17803471502	208.776558519573	1737.47081165412	10704.9236553243	856.577985566815	2082.17885922445	1299.76829072675	536.515069712941	983.401490866917
1342.61055567604	1944.46658611054	823.183360748953	9297.80762438307	1043.69853649885	657.859603448851	192.30265905742	3992.01439242197	957.888077296786	2354.6320023301	1641.18298500803	691.011628826129	862.060352475086	1385.9068501233	1554.58680744021	1346.44053430743	1056.52563598596	3467.11902968821	1171.440719161	897.654463029303	1475.36072157757	250.652009783039	518.434608900321	575.794005479111	3637.7841124682	2902.05231852708	203.297969773871	3665.4006396563	1299.15811334267	819.50225573299	2848.51894214422	1640.10286973527	203.357318366209	1701.34569212912	10559.0219169767	838.766486131452	2035.67329023847	1258.54404080413	525.003796834749	953.532936456154
1316.4999337613	1905.12677633734	807.040345913837	9104.93154070721	1017.9793960379	639.572333753272	187.489430148981	3933.96284639555	951.756940024088	2289.10628232844	1602.56130894515	673.246643998385	844.496727894007	1359.00736798266	1529.67711576129	1314.56355838826	1024.83754790916	3392.11831200525	1138.37331523388	881.406812293181	1441.87805778285	243.783657823918	506.746140259987	565.068105950013	3536.83058268632	2847.20195238098	197.913049373698	3587.91545056106	1276.67506462146	796.887307552594	2777.7350223193	1612.94702955169	198.161872403314	1666.49334830431	10418.6788809496	821.622353732279	1990.82296517327	1219.11308712257	513.884608427035	924.886576501516
1291.37278933714	1867.24547816105	791.494768487329	8919.41927431119	993.256709661252	621.938213231644	182.840564764005	3877.90691838256	945.961498520538	2226.54851882088	1565.55951258543	656.304545874986	827.705365567963	1333.02874753952	1505.80067716193	1283.7335645266	994.389152495614	3320.22616154477	1106.84881507263	865.798947444364	1409.75439746196	237.199425390233	495.604013485129	554.714440302208	3439.61955264284	2794.06393194452	192.756729663257	3513.34531937875	1255.03237311777	775.219004329128	2709.47919699395	1586.64298984905	193.198163413879	1632.86424116311	10284.2269939747	805.101009981678	1947.46471489209	1181.41140669876	503.150066096727	897.612769705105
