AL	AZ	AR	CA	CO	CT	DE	GA	HI	IL	IN	IA	KS	KY	LA	MD	MA	MI	MN	MS	MO	MT	NE	NM	NY	NC	ND	OH	OK	OR	PA	SC	SD	TN	TX	UT	VA	WA	WV	WI
1295.68033538177	2165.31155755431	775.751987625025	8998.6430165044	1034.14732263031	678.107251483882	190.999535731363	3620.88394091251	993.946560002688	2421.85287148463	1558.96254471206	668.49881521423	796.684148319268	1271.70796947194	1422.10949342312	1309.37283528688	1127.75923122584	3133.48005563704	1134.39739678373	846.554233063724	1418.46683452945	235.946626302153	481.297828466638	537.072036311823	3709.20458755251	2693.14779338133	186.790471120569	3356.46253654103	1185.18871714571	797.416431570471	2778.15822929808	1493.78460951938	192.391558087376	1618.50541736556	9515.08598146173	764.182410464063	1948.05186080987	1258.96733336028	489.489793012215	991.667119406313
1257.66869027936	2117.74075276612	753.514320219052	8724.64700395371	999.295624426158	653.626596221977	184.537791561942	3543.5967890043	985.98821038339	2334.58490983738	1509.06746663909	645.717840212464	773.927008779434	1236.7259830335	1385.86500769183	1266.72387772891	1085.24041570875	3042.02437403389	1093.35084390365	822.932241540587	1373.79686653011	227.589703257214	466.487138761776	521.787987881338	3575.51319931902	2618.54160959725	180.371371085118	3258.88247420923	1155.48072553802	768.877122251806	2685.02035672445	1456.93786821056	185.884749137601	1570.49269517736	9320.24853088535	742.199257562042	1887.58805441909	1210.2431495413	474.939369240273	954.253812293343
1221.24187954873	2071.90168330808	732.177880217977	8462.21701523959	965.999253930253	630.269748043928	178.369113222915	3469.35525943058	978.418746274838	2251.27903532405	1461.29555084122	623.945652863265	752.072438105437	1203.12716165008	1351.06538754912	1225.98399206125	1044.72405038546	2954.30179954006	1054.19500856658	800.27859921807	1331.0102374041	219.607830263237	452.304856693759	507.135029550975	3447.96843554997	2547.15424892148	174.238683606368	3165.26024055645	1126.8629373927	741.626195259443	2596.05598972313	1421.61861674203	179.669593057815	1524.48435636803	9132.54599640293	721.109741458039	1829.7872416272	1163.81866589601	461.003037655153	918.588673711481
1186.30970290621	2027.79492262157	711.720202042636	8210.77258844966	934.199618592229	607.977048585224	172.467961279363	3397.79534912996	971.228643212951	2171.79557583339	1415.5959484237	603.14542398176	731.099547703752	1170.88830014267	1317.60967028289	1186.95198604014	1006.10924343536	2870.10313733756	1016.81018251696	778.523015064316	1290.05579905658	211.983443431104	438.710452527726	493.086458804425	3326.19937859907	2478.59593477585	168.372495734708	3075.39189339315	1099.3715329055	715.617160254226	2510.90377004361	1387.6612223122	173.722724374783	1480.3666992521	8952.00139997235	700.862043110581	1774.37859228133	1119.60176684014	447.634307843318	884.594626963006
1152.82527589701	1985.34669762355	692.124270154136	7969.60923927343	903.786559272927	586.673537415633	166.821779723964	3329.07331180789	964.385148518869	2095.89087745353	1371.87297136414	583.235431758173	710.978132901556	1140.00273205754	1285.46989754971	1149.56947163223	969.245346483452	2789.34105531086	981.077612340515	757.647968040633	1250.82511020905	204.700744252725	425.668393594524	479.628333632794	3209.84408490277	2412.86915241975	162.760231135627	2989.32970588476	1072.96858858539	690.778903195741	2429.42596200514	1355.05764384646	168.028675747814	1438.16456321603	8778.43692224193	681.456734296726	1721.30080653969	1077.46418804448	434.832742361076	852.163321587773
1120.71981436072	1944.46658611054	673.314426152425	7738.54564277919	874.715559788788	566.335311346513	161.428087027078	3262.98518089939	957.888077296786	2023.34073292237	1329.94492374016	564.184707945862	691.687970815402	1110.31896582563	1254.57949036712	1113.87931895555	934.059240145103	2711.7510873776	946.959800033372	737.614735216305	1213.2651976732	197.7450405613	413.168442293855	466.730182576419	3098.76018309323	2349.9035388197	157.396379217024	2906.66022134757	1047.59681964633	667.061276137352	2351.57755825487	1323.75232116087	162.58725487217	1397.69829897718	8611.36801998053	662.842122600536	1670.58744101818	1037.30218048066	422.574768248558	821.205830696408
1089.90236888782	1905.12677633734	655.244891317345	7517.14744449267	846.884793660794	546.915049215296	156.263764281387	3199.22582324405	951.756940024088	1953.97298450481	1289.72485304381	545.959027536746	673.151483211902	1081.77766118231	1224.89525398818	1079.67053551322	900.483009002421	2637.16370760287	914.385303769464	718.377223222631	1177.23631899436	191.101744383224	401.186853010047	454.35597450803	2992.64369052032	2289.29825656087	152.274250147491	2827.22204855107	1023.18017650587	644.409047891261	2276.99430638956	1293.59376592112	157.386296194883	1358.82810285279	8450.66447446898	644.978135353873	1621.89264267932	999.02352716468	410.794475284498	791.643659732329
1060.33573552079	1867.24547816105	637.899749144065	7304.88234447511	820.243942442717	528.312103112484	151.309280939984	3137.7502860258	945.961498520538	1887.85995517918	1251.27570033354	528.592945815241	655.429931850031	1054.31082829606	1196.42995484499	1046.80989570083	868.403028151847	2565.75902028611	883.372563276798	699.926959847951	1142.75307272424	184.753776153311	389.761155840688	442.460661082209	2891.06989466288	2230.90310679203	147.382501332571	2751.01794367617	999.732270331158	622.775987882633	2205.49572575956	1264.51008123576	152.423492811728	1321.48895145617	8296.39316448734	627.814494524698	1575.07435112477	962.535826695154	399.473977255314	763.527485873476
1031.96676593509	1830.85979247373	621.267486759769	7101.48236122064	794.781477607077	510.561233711255	146.57118515792	3078.64149411426	940.489302577558	1824.8654164954	1214.56705356709	512.012857407508	638.435262861712	1028.00313851162	1169.09379060432	1015.38198496967	837.813579631406	2497.52029006393	853.772612073545	682.216429443239	1109.81168649026	178.687839956445	378.81350163735	431.020963682383	2794.13619017919	2174.83072517656	142.703628546614	2678.11044157742	977.187908478664	602.10542124012	2137.16680378188	1236.53906421757	147.674823297384	1285.68911848467	8148.09712517948	611.367219661953	1530.22769001094	927.738929198598	388.626729793645	736.738616791693
1004.78573146592	1795.8326195955	605.321776197813	6906.67182827492	770.431740198886	493.618830740643	142.041647986466	3021.81314082878	935.337906542899	1764.6594259504	1179.41081363653	496.141063230786	622.120368684578	1002.7903174112	1142.81212858253	985.307842776705	808.649012921899	2432.15689932807	825.478455646411	665.21804991321	1078.26113466397	172.890874412145	368.308360557009	420.051363047652	2701.65779530568	2121.00104146733	138.221971200889	2608.27877663954	955.574857202693	582.373274911954	2071.85957313925	1209.63984589589	143.127131766045	1251.40166107264	8005.52112208898	595.600545738654	1487.28623097557	894.575486143252	378.237808316564	711.167234604626
978.735148933299	1762.12092889389	590.030635557552	6719.99442189607	747.14836928896	477.438280717075	137.713827964458	2967.43179951582	930.560667770066	1707.06241923516	1145.70510133666	480.928441298233	606.474253039649	978.58576969311	1117.58682019648	956.525441007885	780.832852292536	2369.41729742461	798.404106408728	648.922445306681	1048.01473467628	167.355629994	358.228438827945	409.548322205338	2613.33385340095	2069.45992769244	133.928541495254	2541.33923739964	934.784226398617	563.536114028339	2009.39568310681	1183.88545863396	138.76751035994	1218.55732542384	7868.57702399218	580.475440707814	1446.15502729949	862.967096102722	368.275789713553	686.745372127968
953.756636048659	1729.77703035377	575.350145090414	6541.17296176868	724.863531237095	461.985290281436	133.577093338226	2915.17993450833	926.131493092403	1651.97997906382	1113.39696283255	466.358262748887	591.416478971957	955.347106632698	1093.37622760382	928.979493094449	754.289581367969	2309.12719800776	772.508025376316	633.293544779959	1018.9862332429	162.064575408626	348.54654634693	399.464239297692	2528.96321811951	2020.0622003473	129.822957545729	2477.07198437431	914.77395595299	545.525896996489	1949.65357488574	1159.19243228267	134.594317062892	1187.06636087772	7736.84125619295	565.973355207688	1406.75521586272	832.805893182977	358.726332648054	663.410907201355
