V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
2335199.34890819	2338218.0053739	2335736.21389672	2331343.74857651	2335567.9607419	2331338.98775439	2337172.85853473	2334785.80560588	2339710.91662174	2333146.28440282	2338089.86753227
2244846.71234166	2247853.18537757	2245418.92357495	2241097.76581789	2245195.19049191	2241073.90585199	2246699.77163153	2244494.18230168	2249267.46044703	2242835.53778678	2247660.99536305
2157884.08838576	2160872.46544602	2158489.36556472	2154239.65483567	2158212.93606659	2154199.94445651	2159618.90758187	2157587.50987011	2162210.36757625	2155916.29671856	2160626.22453464
2074212.83745381	2077174.81415737	2074844.89620747	2070675.10822229	2074522.36045592	2070618.57575654	2075833.73705773	2073967.03207003	2078443.93641786	2072289.93607141	2076883.17827593
1993733.11538799	1996663.57923054	1994387.0504213	1990298.43305576	1994022.20705811	1990229.22196246	1995244.36614451	1993533.9367234	1997865.11448822	1991854.33234629	1996332.40100467
1916343.65723434	1919238.13161513	1917014.38402936	1913008.1406422	1916612.50296497	1912928.63914419	1917747.63166148	1916185.80263659	1920374.99354856	1914509.30146659	1918872.7596931
1841941.4786076	1844798.43218159	1842625.81657271	1838706.34473782	1842193.29833305	1838616.12452114	1843242.23660949	1841823.77633716	1845873.98247919	1840154.79457302	1844402.68039764
1770428.07214929	1773243.36031837	1771122.44192286	1767292.80098539	1770662.83142585	1767192.49799451	1771631.92895043	1770346.16864853	1774260.48158298	1768688.39664526	1772824.71150806
1701705.39709072	1704478.16245396	1702408.58911384	1698667.97719157	1701921.73013493	1698558.54833602	1702816.30741282	1701655.09830287	1705436.39499456	1700013.44004314	1704037.09763165
1635677.48879569	1638402.44314848	1636384.07342213	1632734.32962243	1635875.77721319	1632616.51366723	1636699.51710777	1635654.81404467	1639307.10905147	1634032.70463828	1637943.60748772
1572245.80083991	1574923.43087056	1572957.39946862	1569395.91057319	1572430.5667079	1569270.05616948	1573181.81963256	1572249.66498497	1575776.28932873	1570648.14034127	1574448.40056423
1511316.56752456	1513944.42770084	1512031.75351391	1508560.8978202	1511487.83871863	1508426.45987171	1512171.33125019	1511347.15481984	1514750.28161899	1509766.5215335	1513459.12218522
1452800.80508524	1455377.34998249	1453516.47458852	1450134.6363721	1452956.32871754	1449992.59122235	1453576.24978489	1452855.14043538	1456137.16123059	1451297.40031673	1454882.51993759
1396607.22448985	1399130.94872349	1397324.15905517	1394029.2808346	1396748.95958362	1393880.43608893	1397308.77432935	1396680.94870737	1399848.90620718	1395149.05543303	1398630.8454876
1342648.34887691	1345120.75301751	1343365.61372023	1340158.0458845	1342776.41275967	1340001.42736781	1343280.4926657	1342739.90634076	1345797.49029845	1341235.67000667	1344614.2652986
