V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41
3678784.43632242	2845031.27970916	3888422.62568439	5086532.6438757	2682664.95482855	2403576.963326	3612401.41702122	3707019.01574474	4061544.936069	5577965.34728668	2133984.43807482	3814110.24549673	3870157.23344333	3864693.62076082	5024355.5697026	3823054.85146524	3441672.22594835	3538944.87667796	4652196.97264743	2908411.206164	4707789.01341498	5829147.03646775	1616365.57537645	3626781.03114813	2975114.8643495	4171504.87276006	3025005.27659632	3365212.11508546	3876447.56431092	3471576.04355127	4099397.89092789	3832981.46534999	3943450.50967008	3487242.06548677	3084663.55705393	5215063.32417336	5240529.86787377	4298319.61449884	2774261.35573217	3822793.55150097	2807806.73800871
3635113.96866319	2793051.79420254	3856403.08622289	5056412.27793618	2625918.03530253	2346802.77206599	3579109.5559175	3673954.67187766	4029206.12101538	5778909.14944909	2077562.51000376	3786288.30095697	3824596.96120104	3824213.10643917	5051702.42120769	3779327.09997243	3384319.72049977	3502024.88008064	4683815.78015597	2860284.60081538	4703247.39346359	5926448.31921824	1576964.34297316	3588665.55042135	2915095.7708653	4140429.00172767	2975544.71473073	3318022.9364083	3826083.38598476	3426296.31739065	4293977.03355656	3795252.23535051	3861346.0128149	3457016.87553459	3047875.91375788	5235111.34419823	5237866.19758566	4294147.88700723	2714996.83018489	3779845.66402267	2746591.40052986
3590353.6235766	2741341.80868703	3822785.79692522	5023149.331526	2569855.92722514	2291314.95272971	3544593.98250531	3639473.99372933	3994912.75014128	5978812.69777383	2022510.45189341	3756788.43512454	3777806.83559752	3782266.61542287	5075147.50597939	3734301.33884842	3326671.7770423	3464082.61299932	4712182.85818816	2812201.31825847	4695488.76472169	6018701.98975894	1538597.28433367	3549433.43950945	2855544.98000741	4107169.43342165	2926027.9252555	3270285.69109496	3774543.08465233	3380271.10334428	4492848.75828407	3756141.91513646	3779596.97571625	3425658.86822118	3010511.81961245	5250577.05400723	5231060.77089303	4287344.95205101	2656427.09628822	3735648.66609927	2686381.66697921
3544610.15160006	2689971.12038261	3787666.13790608	4986882.68917259	2514544.73090684	2237126.83692106	3508941.05819842	3603668.01869643	3958774.63221534	6176795.33006354	1968844.05085784	3725699.30843645	3729900.20331691	3738967.65345116	5094632.52613731	3688095.67563383	3268839.05351052	3425210.23914068	4737239.70066065	2764235.53038435	4684565.27595406	6105530.45355496	1501259.77020409	3509170.02188767	2796542.43509366	4071839.38580637	2876534.14317364	3222098.39833788	3721966.28843453	3333591.23283061	4695498.56519231	3715745.02930498	3698340.41619258	3393237.62277521	2972648.56182651	5261441.19709156	5220180.62283157	4277937.05446583	2598609.00237607	3690319.68864959	2627220.64941358
3497989.04343835	2639007.02431711	3751136.28872739	4947762.11103338	2460035.9538833	2184243.73446441	3472231.98681753	3566631.10648968	3920897.17408036	6371921.70783399	1916571.84464477	3693102.81241865	3680991.21099162	3694444.19915158	5110117.38358641	3640828.1377136	3210931.34018399	3385490.42176094	4758922.76898116	2716448.72278273	4670527.82745021	6186580.01040949	1464946.609073	3467968.50824418	2738156.69177127	4034553.17768033	2827142.81573625	3173558.74787334	3668483.94650556	3286357.02998906	4901335.05527886	3674146.4073346	3617702.83657968	3359830.02293804	2934360.84230282	5267705.14436756	5205309.48390234	4265977.3250477	2541605.15354339	3643975.81133312	2569140.48609015
3450597.69753475	2588519.0467228	3713279.3635138	4905940.00809691	2406380.1781776	2132669.07572885	3434547.52019343	3528459.75189446	3881391.28992829	6563237.46714513	1865699.93061698	3659089.18180566	3631179.00837888	3648807.66994723	5121558.67671104	3592609.39618755	3153048.12248379	3345007.63977349	4777187.49388582	2668912.66123696	4653422.81093756	6261519.6444756	1429649.52102321	3425918.19196036	2680456.95427328	3995429.34696856	2777925.3928495	3124750.8293044	3614213.58005591	3238661.59138256	5109714.33253233	3631444.29885015	3537809.03254973	3325515.54374783	2895720.6692183	5269382.74332933	5186544.35224982	4251509.5914822	2485468.44753572	3596730.88197966	2512172.89656997
3402539.59763075	2538560.80803253	3674193.03786129	4861572.36067367	2353614.1968072	2082403.98304247	3395973.07119227	3489242.96627233	3840369.15259253	6749753.47097044	1816227.53154711	3623749.63064827	3580575.50030731	3602170.14101041	5128936.93698392	3543551.39665668	3095286.02512826	3303845.35525635	4791994.11267612	2621687.31758696	4633329.29637579	6330012.65588596	1395360.46473694	3383108.54209893	2623504.60407168	3954597.1154807	2728946.05826912	3075756.3350065	3559285.72015841	3190598.95708987	5319906.99682466	3587739.85624634	3458760.93342283	3290365.34222156	2856795.11706098	5266507.69550191	5163970.09923652	4234595.22573007	2430246.84194766	3548685.28048845	2456340.82877015
3353909.64364567	2489181.65311619	3633975.25727001	4814803.48183136	2301777.94261008	2033443.60338148	3356591.47452017	3449074.1225626	3797944.22455297	6930467.96563625	1768151.08256936	3587178.18907098	3529285.64072403	3554649.68019027	5132241.65669492	3493765.83913898	3037733.36339042	3262079.10816671	4803312.66404532	2574829.78861198	4610315.70173725	6391789.77725439	1362067.40430774	3339627.24467317	2567351.28789907	3912170.53380301	2680269.40244249	3026661.3813611	3503819.3286086	3142253.95682006	5531114.51906506	3543127.76859828	3380656.9854724	3254456.93898621	2817647.38239368	5259120.14765387	5137712.70095485	4215296.17595011	2375981.6361292	3499952.05675322	2401666.90792329
3304800.97144212	2440429.24040359	3592711.93960696	4765789.08067419	2250902.60338875	1985780.72521188	3316482.78073624	3408042.19100911	3754223.93363157	7104374.90791565	1721464.03939325	3549460.46129951	3477415.34161094	3506352.78765501	5131493.34548162	3443356.88969916	2980471.00369546	3219796.85157284	4811124.54256272	2528395.18063519	4584468.34405855	6446588.76560901	1329760.57611795	3295560.68221821	2512049.28163767	3868262.42415148	2631955.06171438	2977541.36508058	3447920.67270196	3093707.2967532	5742475.41423872	3497696.94518865	3303585.08136496	3217864.8947437	2778346.01003422	5247284.88449653	5107897.90692475	4193664.30953932	2322709.23776973	3450634.12430356	2348166.18517995
3255314.96789882	2392348.1305863	3550497.71141766	4714689.22503133	2201015.093785	1939409.12251907	3275731.01378951	3366233.4939248	3709320.63018133	7270475.93275195	1676152.33074912	3510693.77785051	3425056.1304813	3457388.31008427	5126704.9018037	3392426.20703348	2923582.44696826	3177072.35371109	4815435.03260805	2482431.67384695	4555875.72664357	6494173.50125138	1298427.01037021	3250993.25069099	2457641.55105004	3822996.64029502	2584061.40634957	2928470.1427746	3391707.69294185	3045038.94707613	5953063.51485976	3451541.35026816	3227621.60300474	3180658.59703229	2738948.74504809	5231079.72873177	5074647.78436542	4169787.02471781	2270461.27814522	3400833.20371081	2295851.67669785
