X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11
MS	-0.0316613848926019	-0.0291124328148294	-0.0289331627155586	-0.0302669753455164	-0.0288980199639642	-0.0295689293463727	-0.0293416826592634	-0.0337977485226641	-0.0304071107099203	-0.0285366342532549	-0.0304992245576591
MO	-0.0522444489120035	-0.0470385060783323	-0.0484195051733139	-0.0468673485075447	-0.049445991800655	-0.0496676829928742	-0.0487017230554665	-0.0485385367255274	-0.0475349203029905	-0.0474308491205601	-0.0514006022290302
MT	-0.0731062755356154	-0.0743743473787553	-0.0698091338297787	-0.0729011003873513	-0.0740827086974536	-0.0707138732620644	-0.0715285154171688	-0.071210436588431	-0.0749501639687357	-0.073750806894419	-0.0737944794667576
NE	-0.0603892101184547	-0.0613731019876547	-0.0617958517916525	-0.0633526427435354	-0.062569254226182	-0.0613967229591333	-0.0625820801812353	-0.0623782645824383	-0.0633924764710997	-0.0610445225437744	-0.0625515226622671
NM	-0.0400720394885984	-0.03773744523157	-0.0386940485522039	-0.0392533159231892	-0.0389087296458586	-0.0394695188074446	-0.0382094941374413	-0.0393314203169291	-0.041008514963904	-0.0405391468231926	-0.0396866203660838
NY	-0.0506151168864202	-0.0476375738735786	-0.0482785961725367	-0.0477407758214565	-0.0471660805742623	-0.050880231647666	-0.0501602939654626	-0.0490112681917773	-0.0477162559590324	-0.0478806894756172	-0.0489309142444192
NC	-0.0485627726320022	-0.0467041970051065	-0.0456146465030317	-0.0489105366943589	-0.0475000424740472	-0.0476638678454369	-0.0474426535247029	-0.0481282656427488	-0.0489515325782806	-0.0459901926396815	-0.048881202939182
ND	-0.0764946466351297	-0.0761743652499242	-0.0762556714269598	-0.0761492347136235	-0.0755093907814143	-0.0768967026078429	-0.0766706622541845	-0.0763070103047317	-0.0753481516611698	-0.0758158218764158	-0.0769789485176797
OH	-0.0634773912403615	-0.0626351001141136	-0.0623799733061305	-0.0649221473898068	-0.0625914434857685	-0.0641858114252918	-0.0639086066113728	-0.063445634687563	-0.0627660395486092	-0.0627030716202332	-0.0619999653997976
OK	-0.0532791035943889	-0.0531782503176614	-0.0529989997824063	-0.0534058619672698	-0.0523509735694527	-0.0531243073025737	-0.0522899881983557	-0.0536475477315511	-0.0537794615922515	-0.0524703096687717	-0.0524896077221384
OR	-0.0638831380609739	-0.063146765355251	-0.062680817398077	-0.0638710590442202	-0.0642490299020419	-0.0650201706846307	-0.0634891742153032	-0.0652905591709061	-0.0642316643786566	-0.0641607196442916	-0.0632225202887901
PA	-0.0515315443143905	-0.0524498791209867	-0.0547068770306906	-0.0529230368120142	-0.0533046388085681	-0.0537780802434287	-0.0540944879952513	-0.0534163819491298	-0.0523742721929025	-0.0541818630807692	-0.0552480647798218
SC	-0.0486388863968339	-0.0493794219916125	-0.048203052107233	-0.0482311826113499	-0.0481764158636011	-0.0463372644501037	-0.0477735329672662	-0.0500664756359631	-0.0480731019515066	-0.0483824244917502	-0.0497536415745984
SD	-0.0661946599048685	-0.0648145732977093	-0.0672165795429941	-0.0667485411445459	-0.0655117322427923	-0.0631383011822668	-0.0659186838248818	-0.0657927135123768	-0.0657639902974225	-0.0649660396323487	-0.0674015493451148
TN	-0.0421633794384091	-0.0425548841331396	-0.0409471968915365	-0.0441205397333881	-0.0420548889559822	-0.0430335450497435	-0.0418326733219978	-0.0409268143059644	-0.0409719522478629	-0.0420219919520965	-0.0424824064451696
TX	-0.043860670046076	-0.044280466427349	-0.0437235905996325	-0.0435467297791226	-0.0429369025236117	-0.0450295343955539	-0.0428963495250584	-0.0428589751717581	-0.0443334488081909	-0.0445338900319662	-0.0450988849743267
UT	-0.0602013464284498	-0.0618155377003568	-0.0613409794034785	-0.0612274293352023	-0.061600611743589	-0.0620156791793321	-0.0602782302773516	-0.0607745000901065	-0.0611207582370443	-0.0619497631241122	-0.0609133727734649
VA	-0.0485936336678334	-0.0492830780360362	-0.0476676001849906	-0.0482059254146108	-0.0478571912305122	-0.0467679917679235	-0.04678657974651	-0.0487670949957929	-0.0493994205635492	-0.0497788877527158	-0.0491773533622077
WA	-0.0694517773163995	-0.069305284898955	-0.0672661937619468	-0.067840000845044	-0.0693868524427697	-0.0694848080783065	-0.067860682276689	-0.0687671555372136	-0.0686661011611463	-0.0686658864977212	-0.068345070489817
WV	-0.0548855691548152	-0.0578538926351242	-0.0556811715219268	-0.0555273339361456	-0.0573112381581396	-0.054337767301786	-0.0555861276819019	-0.0555947662149325	-0.0542337379331324	-0.0549048796388706	-0.0572670553206496
WI	-0.0500485081957544	-0.0500566500957176	-0.0501140260926743	-0.0499600337227033	-0.0506927771492613	-0.052449625734148	-0.0504892777480528	-0.0501353930620697	-0.0499590368125556	-0.0500998508176341	-0.0516568217831146
ALL	-0.048383810220818	-0.0484012720828513	-0.0478744660019378	-0.0483303222287339	-0.0483661454152711	-0.0486983619020106	-0.0482114756685328	-0.0485866782404165	-0.0481546091212471	-0.0478018569463126	-0.0490230862307559
